,sentence,label,score
13,"Our progress in these areas is detailed in this report, and we  look forward to continuing to engage with colleagues and other stakeholders to hear how  we can continue to enhance our impact, both within and outside of Pfizer.",Governance - Business_Model_Resilience,0.370166927576065
14,We also continue  1 Patient counts are estimates based on multiple data sources.,Social - Access_And_Affordability,0.3172387182712555
15,See footnotes within the Performance section for more details.,Governance - Management_Of_Legal_And_Regulatory_Framework,0.3791691362857818
16,"4 Pfizer 2022 ESG Report Introduction to refine the metrics we use to measure our performance as the voluntary and emerging  regulatory frameworks governing ESG reporting evolve at the local, national, regional, and  global level.",Governance - Management_Of_Legal_And_Regulatory_Framework,0.952678680419922
17,Acting Ethically  Our approach to helping address the issues facing our planet and its people is rooted in our  purpose.,Social - Human_Rights_And_Community_Relations,0.9136964678764344
18,"And while our breakthroughs can take the form of new medicines and vaccines,  they can also shape new ways of working, new ways of helping ensure equitable access to  our innovations, and new ways of leveraging our voice.",Social - Access_And_Affordability,0.2994832098484039
19,"We're a company that is guided by our values—courage, excellence, equity, and joy.",Social - Employee_Engagement_Inclusion_And_Diversity,0.2890636622905731
20,"To that  end, we deploy an ethical decision-making framework that seeks to guide how we discuss,  consider and act to help address global challenges.",Governance - Business_Ethics,0.4652834832668304
21,"Values-and ethics-based decision-making  promotes accountability and helps ensure that integrity, quality, safety, and ethics are  foundational to all we do.",Governance - Business_Ethics,0.9653782248497008
22,Actions > Words  These decisions have led to action.,Governance - Management_Of_Legal_And_Regulatory_Framework,0.3906211256980896
23,"For example, we remain committed to working towards  equitable and affordable access to the Pfizer-BioNTech COVID-19 Vaccine and Pfizer's oral  therapy for people around the world.",Social - Access_And_Affordability,0.7930968999862671
24,Why?,Governance - Competitive_Behavior,0.1697306185960769
25,Because our vaccines and medicines cannot  positively impact patients if those patients do not have access to them.,Social - Access_And_Affordability,0.832774817943573
26,This commitment to equitable access extends beyond COVID-19.,Social - Access_And_Affordability,0.8386074304580688
27,We live in a time when  science can increasingly take on the world’s most devastating diseases.,Social - Critical_Incident_Risk_Management,0.1858006864786148
28,"But there is a gap  determining who can access these innovations, and who cannot.",Governance - Product_Design_And_Lifecycle_Management,0.2783754765987396
29,"To help bridge this gap,  we announced in May 2022 that we will provide on a not-for-profit basis all our innovative  medicines and vaccines available in the U.S.",Social - Selling_Practices_And_Product_Labeling,0.3304786682128906
30,"or the European Union to 1.2 billion people  in 45 lower-income countries and will work closely with global health leaders to make  improvements in diagnosis, education, infrastructure, storage, and more.",Social - Access_And_Affordability,0.8627052903175354
31,"The Accord for a  Healthier World—which we expanded in January 2023 to include the full portfolio of products  for which we have global rights, bringing the total offering from 23 patented medicines and  vaccines to around 500 patented and off-patent products-aims to greatly reduce the health  inequities that exist between many lower-income countries and the rest of the world.",Governance - Product_Design_And_Lifecycle_Management,0.3312470018863678
32,=] Pfizer  — Continued  Action also requires stepping up during times of international crisis.,Social - Critical_Incident_Risk_Management,0.5701625943183899
33,"We remain deeply  concerned by the human suffering we have witnessed during the ongoing armed conflict in  Ukraine, and we are committed to contributing to ongoing humanitarian efforts that support  the safety, health, and wellbeing of people affected by this tragic event.",Social - Employee_Health_And_Safety,0.8132677674293518
34,"We are determined  to ensure the safety of our colleagues and their families, and we are equally determined to  facilitate continued access to our medicines and vaccines for patients.",Social - Product_Quality_And_Safety,0.5041047930717468
35,But we recognize that  we are in a position to do even more.,Governance - Competitive_Behavior,0.1777465343475341
36,"That is why, effective March 14, 2022, Pfizer began  donating profits of our Russian subsidiary to the Pfizer Foundation?",Governance - Management_Of_Legal_And_Regulatory_Framework,0.3924013674259186
37,"for direct humanitarian  support to the people of Ukraine, in addition to our ongoing humanitarian response efforts  in the region.",Social - Critical_Incident_Risk_Management,0.8809517025947571
38,"Pfizer, through The Pfizer Foundation, has committed over $30 million to  support these efforts.",Social - Access_And_Affordability,0.2604831159114837
39,We believe that product donations play an important role in relief and humanitarian  emergencies.,Social - Critical_Incident_Risk_Management,0.9418968558311462
40,We are proud to work through established non-governmental organizations  with expertise in managing product donations in connection with humanitarian emergencies.,Social - Critical_Incident_Risk_Management,0.9695047736167908
41,"In 2022, this included Hurricane Fiona, Hurricane Ian, the Afghanistan earthquake, and the  flooding in Pakistan.",Environmental - Physical_Impacts_Of_Climate_Change,0.844237744808197
42,"We recognize that planetary health has a profound impact on human health, which is why  we are building on more than 20 years of climate action to reduce our company and value  chain Greenhouse Gas (GHG) emissions.",Environmental - GHG_Emissions,0.967635452747345
43,"In June 2022, we announced our aim to achieve  the voluntary Net-Zero Standard by 2040, ten years earlier than the timeline described in  the standard.",Governance - Management_Of_Legal_And_Regulatory_Framework,0.6335588693618774
44,"As part of this commitment, we aim to reduce our company GHG emissions  by 95 percent and our value chain GHG emissions by 90 percent from 2019 levels through  accelerating the transition away from fossil fuels and engaging suppliers to catalyze  equivalent action.",Environmental - GHG_Emissions,0.9685041904449464
45,2.,Governance - Competitive_Behavior,0.1579564213752746
46,The Pfizer Foundation is a separate legal entity from Pfizer Inc.,Governance - Management_Of_Legal_And_Regulatory_Framework,0.3442288935184479
47,with distinct legal restrictions.,Governance - Management_Of_Legal_And_Regulatory_Framework,0.7182366847991943
48,"5 Pfizer 2022 ESG Report Introduction Force for Good  As we look ahead, as remarkable as 2022 has been for Pfizer, I believe we have only scratched  the surface of the transformative impact we can have on human health.",Social - Employee_Health_And_Safety,0.8641510605812073
49,"Our third ESG Report, which shares our vision and approach, showcases progress on key  strategies and reaffirms our commitment to keeping patients at the center of all we do and  to furthering the positive impact that we have on the world.",Social - Access_And_Affordability,0.4359344840049743
50,"Nobody can predict with certainty how the world will change in 2023, and what challenges  humankind will have to overcome.",Governance - Business_Model_Resilience,0.273301899433136
51,But I do know this: all of us at Pfizer consider it a  privilege to be allowed by society to help address these issues.,Social - Human_Rights_And_Community_Relations,0.5146202445030212
52,"Against this backdrop, we  remain committed to keeping patients as our North Star, applying ethical decision-making  frameworks to our work, embedding ESG into our corporate strategies, and continuing to be  a force for good in the world.",Governance - Business_Ethics,0.7554414868354797
53,Mert Bou La  Dr.,,0.0949032753705978
54,"Albert Bourla  Pfizer Chairman & Chief Executive Officer  =] Pfizer  Dear Stakeholders, Strive to maintain a Board with a diverse set of experiences, qualifications, and attributes,  ; ; as well as gender and ethnic diversity.",Social - Employee_Engagement_Inclusion_And_Diversity,0.9742767810821532
55,"Accordingly, when seeking new Directors, the Board On behalf of the Board of Directors, I would like to thank  you for your interest in Pfizer’s environmental, social, and  governance progress.",Governance - Director_Removal,0.4406338930130005
56,We believe that Pfizer's commitment  to our Purpose—Breakthroughs that change patients’ lives—  is essential to the company’s long-term success.,Governance - Business_Model_Resilience,0.2408463805913925
57,We are  proud to share Pfizer’s progress on our ESG efforts in our  third formal report.,Governance - Business_Model_Resilience,0.5495862364768982
58,"considers a diverse pool of qualified candidates across several dimensions, including skills,  gender, age, race, ethnicity, background, professional experience, and perspectives.",Social - Employee_Engagement_Inclusion_And_Diversity,0.9682186841964722
59,"The  Board is committed to ongoing refreshment, as evidenced by the addition of five new  independent Directors since 2018.",Governance - Director_Removal,0.7506328225135803
60,"We are proud to share Pfizer’s progress on these efforts in this report and appreciate your  interest,  Recognizing the importance of ESG to Pfizer and our  stakeholders, the Board remains highly engaged in  overseeing Pfizer's ESG strategy, with the Governance  & Sustainability Committee (the G&S Committee) of the  Board assuming oversight responsibility of Pfizer's overall ESG strategy, reporting, policies Sincerely,  and practices.",Governance - Business_Model_Resilience,0.6900951266288757
61,The Board’s other Committees are also actively engaged and oversee specific  elements of ESG associated with their respective areas of responsibility.,Governance - Management_Of_Legal_And_Regulatory_Framework,0.292847990989685
62,"During 2022, the G&S Committee received updates from management concerning Pfizer's  ESG priorities and the company’s progress measured against related metrics and goals at  nearly every meeting and shared this information with the full Board.",Governance - Business_Model_Resilience,0.7313698530197144
63,The Committee also  was informed of potential changes to the external regulatory and reporting environment  that may impact our future ESG disclosures and internal changes to our ESG governance  structure to enhance our risk management and oversight.,Governance - Management_Of_Legal_And_Regulatory_Framework,0.9529181718826294
64,"In addition, the Board was Shantanu Narayen  informed of Pfizer's progress in achieving our diversity, equity, and inclusion goals and our Lead Independent Director  environmental priorities and milestones, including our aim to achieve the voluntary Net-Zero  Standard for greenhouse gas emissions by 2040.",Environmental - GHG_Emissions,0.9606181979179382
65,"In terms of diversity, the Board recognizes the critical importance and value of Pfizer's  colleagues and the need to continuously work to maintain a culture where colleagues of  diverse backgrounds, abilities and experiences contribute their unique viewpoints and  perspectives to all aspects of our business.",Social - Employee_Engagement_Inclusion_And_Diversity,0.9733611941337584
66,"Pfizer’s leaders establish and reinforce the  company’s culture, which the Board and its Committees oversee.",Governance - Director_Removal,0.5842048525810242
67,"At the Board level, we  6 Pfizer 2022 ESG Report Introduction Pfizer  of)  | See footnotes within the Performance section for more details.",Governance - Systemic_Risk_Management,0.4240854978561401
68,"Net-Zero  Standard  Aiming to achieve by 2040,  which is 10 years earlier than  expectations of the standard  # |  Ranking among the largest  Pharma companies in the most  recent Global PatientView  Survey (#2 overall)  4 out of 12  members of the Board of  Directors are women  3 out of 12  members of the Board of  Directors are ethnically diverse.",Social - Employee_Engagement_Inclusion_And_Diversity,0.9685488343238832
69,7 Pfizer 2022 ESG Report Recognized at the  Leadership  Level  for our CDP Climate Change  Disclosure  43.1%  Representation for  women at VP+ levels globally  28.1%  Representation for U.S.,Environmental - Physical_Impacts_Of_Climate_Change,0.9187270402908324
70,"minorities at VP+ level  Pfizer leaders have ESG  KPIs factored into their  compensation  Introduction vi,  = oe  & ~  @)/WORLD’S MOST™  Si|ETH | COMPANIES*  ETHISPHERE  “World's Most Ethicat  Companies” and “Ethisphere”  names and marks are  registered trademarks of  Ethisphere LLC.",Governance - Competitive_Behavior,0.2833696007728576
71,"11%  Reduction in Scope 1 &  2 greenhouse gas (GHG)  emissions from 2019 baseline  44%  Pfizer New Molecular Entity  and novel biologic applications  approved by the FDA between  2018-2022 designated as  Breakthrough Therapies  Named one of the World’s  Most Ethical Companies by  Ethisphere for the second  year ina row  =] Pfizer  Underpinned by our core values, our ESG approach helps Pfizer deliver on our strategy and our purpose.",Environmental - GHG_Emissions,0.9685072302818298
72,"Guided by our values and our commitment to long term sustainability, our ESG approach informs how we can advance our purpose—  Breakthroughs that change patients’ lives—in a responsible and sustainable way that takes accountability for the impact we make on society.",Social - Human_Rights_And_Community_Relations,0.4423186182975769
73,"By taking proactive, collaborative steps to advance ESG at Pfizer, we can help improve health outcomes, build trust, create shared value,  and make a positive impact on society for years to come.",Social - Employee_Health_And_Safety,0.445568323135376
74,"Pfizer's 6 ESG Priorities  ¢ Product innovation: Reducing cycle times, increasing success rates, and getting more breakthroughs into the hands of patients sooner  ¢ Equitable access and pricing: Expanding affordable access to our breakthrough medicines and vaccines, and protecting people from the burden of infectious and  other diseases  ¢ Product quality and safety: Maintaining a quality culture to ensure the highest priority is placed on the safety, efficacy and reliability of our products, the safety  of our patients and consumers, the quality of data supporting regulatory submissions, and interactions with our stakeholders  ¢ Business ethics: Exercising strong corporate governance and risk management practices to promote the long term interests of our stakeholders  ¢ Diversity, equity, and inclusion: Creating opportunities to advance diversity, equity, and inclusion across our workforce, those with whom we do business, and  society at large  * Climate change: Taking action to reduce our greenhouse gas emissions and mitigate risks associated with a changing climate  Governance  * Business ethics  * Product quality and safety Environment Social  ey * Climate change * Product innovation  * Equitable access and pricing  * Diversity, equity, and inclusion  8 Pfizer 2022 ESG Report Introduction Pfizer  Advancing our ESG performance is an interconnected effort requiring cross-company alignment and collaboration.",Social - Product_Quality_And_Safety,0.4457893073558807
75,"ESG best practice is often recognized as aligning  and embedding robust ESG management into our strategy—so that the company and its priority ESG workstreams move together, leading to opportunities of  mutual reinforcement and impact.",Governance - Business_Model_Resilience,0.6821420788764954
76,We have continuously refined our ESG strategy in alignment with our purpose and corporate strategy.,Governance - Business_Model_Resilience,0.8526973724365234
77,"Building on our efforts—which include our acquisition of Global  Blood Therapeutics, Inc.",,0.2432352304458618
78,"to help underserved patient communities, such as those with sickle cell disease, as well as expanded access programming through An Accord  for a Healthier World—we more purposefully integrated ESG into our ways of working in 2022, including strategic decisions, business operations, and governance, to  create greater ownership of impact at all levels.",Social - Access_And_Affordability,0.9474559426307678
79,"In 2023, we aim to further integrate ESG into our corporate strategy, reinforcing our commitment to being a purpose-  driven organization.",Governance - Business_Model_Resilience,0.8135772347450256
80,"By embedding ESG into our strategy, we can make it the common denominator that underpins how we fulfill our commitments to our stakeholders.",Governance - Business_Model_Resilience,0.700101375579834
81,"For example, in  our financing strategy, we were the first U.S.",Governance - Systemic_Risk_Management,0.424568623304367
82,"biopharmaceutical company to include ESG Key Performance Indicator (KPI)-linked metrics in our $7 billion, five-year  revolving credit facility.",Governance - Systemic_Risk_Management,0.7106596827507019
83,"We apply science and our global resources to bring therapies to people that  extend and significantly improve their lives through the discovery, development,  and manufacture of medicines and vaccines.",Social - Access_And_Affordability,0.2494909167289734
84,"ESG  ESG priority areas Core values - priority  areas  * Product innovation * Courage  * Equitable access and pricing * Excellence  * Product quality and safety * Equity  * Business ethics * Joy  * Diversity, equity, and inclusion  * Climate change Purpose  Breakthroughs that change patients’ lives  9 Pfizer 2022 ESG Report Introduction Pfizer  In 2020, we led an in-depth priority assessment that helped map ESG issues and their relative impact on our business and expectations of our stakeholders.",Social - Product_Quality_And_Safety,0.2563507258892059
85,"We  identified 30 priority topics and mapped these to our six ESG priority areas, which in turn closely align to our corporate strategy, as well as the risks and opportunities  identified with our Enterprise Risk Management (ERM) approach.",Governance - Systemic_Risk_Management,0.714175283908844
86,These six priority issues are consistent with our values and our patient-centric approach.,Social - Human_Rights_And_Community_Relations,0.763708770275116
87,"In 2022, we continued to engage a variety of stakeholders—including patients, caregivers, investors, colleagues, and partners—to better understand their changing  needs, interests and expectations of Pfizer.",Social - Access_And_Affordability,0.6987133026123047
88,"These insights further sharpened the focus of our ESG strategy on the issues important to our stakeholders, while also  monitoring and managing the other issues in our ESG priority assessment.",Governance - Business_Model_Resilience,0.3741339445114136
89,"We recognize that our priority issues may evolve over time, and remain committed to adjusting our  approach, as appropriate, to ensure our ESG efforts prioritize issues that could have a significant impact  on our business and matter most to our stakeholders.",Governance - Business_Model_Resilience,0.5692577958106995
90,"Pfizer’s ESG Priority Areas:  The ESG function within Pfizer and its cross-functional governing committees (at the senior management  * Product innovation and the executive level) have responsibility for considering and adopting potential goals and targets,  with escalation to the Governance & Sustainability Committee (G&SC) of the Board, based on input from  « Equitable access and pricing experienced subject matter experts and advisors.",Governance - Business_Model_Resilience,0.3136207163333893
91,Our efforts are directed towards making an impact that  furthers our purpose to improve patients’ lives and support the global communities we aim to serve.,Social - Human_Rights_And_Community_Relations,0.8123811483383179
92,"¢ Product quality and safety  ¢ Business ethics  ¢ Diversity, equity, and inclusion  « Climate change  10 Pfizer 2022 ESG Report Introduction Pfizer  — Continu ed Governance > Performance > Appendix >  VERY  HIGH  Importance to stakeholders s) Health care infrastructure  s Health, safety, well-being  Partnerships Clinical trials  Board diversity Patient-cenetered design  Water scarcity and discharge Supply chain transparency  Waste management Human rights  Lobbying Environment and health  Product end-of-life  Disease prevention Retention and attraction  Employee development Reliable supply  Global community investment Pharmaceuticals in the environment  Laws and regulation compliance  Right incentives Product innovation  Equitable access and pricing  Product quality and safety  Colleague diversity, equity, and inclusion ]  ®  ®  © Business ethics  ®  = Climate change  ce Transparency  Cy IP protection  © Data privacy  LOWER Significance of impact to Pfizer’s business  11 Pfizer 2022 ESG Report Introduction VERY  HIGH Prioritize Topics that we give the oT most prominence to  Manage Topics that we actively  manage as a business  Monitor Topics that we  monitor for a change in  relative importance  E Environment  S Social  G Governance  eS Pfizer  — Continued  Esl  Goal Setting  12 Pfizer 2022 ESG Report Based on our six ESG priority areas, we have identified, set and communicated public ESG goals  so that our stakeholders understand how we are measuring success.",Social - Product_Quality_And_Safety,0.7950239181518555
93,"We believe that setting  and publicizing our goals energizes our colleagues, showcases our priorities, and demonstrates  transparency to external stakeholders.",Governance - Business_Ethics,0.8762493133544922
94,"By tracking our work, we can better understand what works,  what doesn’t, and whether we are living up to the goals we are setting for ourselves.",Governance - Business_Model_Resilience,0.2329966425895691
95,"For example, with regards to our climate change goal, we aim to achieve the voluntary Net-Zero  Standard by 2040, ten years earlier than the expectations of the Standard.",Environmental - Physical_Impacts_Of_Climate_Change,0.9443093538284302
96,This goal informs our aim  to reduce our company emissions by 95 percent and our value chain emissions by 90 percent from  2019 levels by 2040.,Environmental - GHG_Emissions,0.6571693420410156
97,"With regards to our Diversity, Equity and Inclusion goal, by 2025 we aim to achieve global workforce  parity of 47 percent for women at the Vice President+ level, and 32 percent for U.S.",Social - Employee_Engagement_Inclusion_And_Diversity,0.9752668738365172
98,minority  representation at the Vice President+ level.,Social - Employee_Engagement_Inclusion_And_Diversity,0.9636733531951904
99,We look forward to continuing to advance and report on our ESG priority areas and related goals.,Governance - Business_Model_Resilience,0.3662151098251343
100,Introduction =] Pfizer  Our stakeholders’ opinions matter to us.,Governance - Management_Of_Legal_And_Regulatory_Framework,0.3308039009571075
101,"Each one brings a unique perspective to the table, and we collaborate with them at various levels to inform our ESG strategy  and make a positive impact internally and externally.",Governance - Business_Model_Resilience,0.6967756152153015
102,"Governments,  Policymakers  & Regulators  Patients &  Caregivers  Partners  Shareholders  & Investors  Colleagues  Patients and Caregivers  Patients are our North Star.",Social - Access_And_Affordability,0.6812889575958252
103,We work with patients and their caregivers to  understand their needs and help ensure that our medicines and vaccines work to  address them.,Social - Access_And_Affordability,0.8669453859329224
104,"13 Pfizer 2022 ESG Report Introduction As part of this, we engage with patients and patient advocacy groups to listen,  learn, collaborate, and address areas of unmet patient need and to incorporate  their perspectives before we launch our medicines and vaccines.",Social - Access_And_Affordability,0.6446766257286072
105,"In 2022, Pfizer's Global Patient Advocacy Team engaged more than 1,800 global  patient advocacy organizations across North America, Europe, Latin America, and  Asia through trainings, workshops, and webinars focused on health policy issues,  capacity building, patient centricity, and patient education and information.",Social - Access_And_Affordability,0.4248108565807342
106,"In 2022, we also hosted our second annual event, Patients in Focus, which  recognizes the influence that patients have on every facet of our work.",Social - Access_And_Affordability,0.3044075071811676
107,"Pfizer  CEO and Chairman, Albert Bourla, as well as other leadership met directly with  patients and advocates to learn about their experiences and discuss how Pfizer  can continue to embed the patient perspective into our work to discover, develop,  and bring to market medicines and vaccines.",,0.2061945647001266
108,"Shareholders and Investors  Our shareholders, investors, and analysts have a vested interest in Pfizer's  operations and the short, medium, and long term success of Pfizer.",Governance - Business_Model_Resilience,0.6188017129898071
109,"We work to  engage investors on ESG issues through ongoing one-on-one conversations,  surveys and questionnaires, and targeted communications, for example ESG-  related content on our Investor Insights website.",Governance - Business_Model_Resilience,0.486849695444107
110,"We also host investor-aimed  fireside chats to review priority ESG initiatives and topics, including on priority  areas such as equitable access and climate action.",Environmental - Physical_Impacts_Of_Climate_Change,0.7404101490974426
111,These fireside chats were  broadcast publicly and aimed to provide investors the opportunity to learn more  about Pfizer’s ESG priorities and activities.,Governance - Business_Model_Resilience,0.8235535025596619
112,"=] Pfizer  — Continued  Colleagues  We want all our colleagues to develop, grow, and succeed and believe everyone  deserves to be seen, heard, and respected for who they are.",Social - Employee_Engagement_Inclusion_And_Diversity,0.3766131997108459
113,"We hold regular  meetings and Town Hall events focused on employees and their needs, conduct  regular surveys to understand colleague satisfaction and other aspects of  corporate culture, and invest in programs to help colleagues manage their mental  and physical well-being.",Social - Employee_Health_And_Safety,0.8899042010307312
114,"Partners  The scale of our ambition requires us to work in coordination and collaboration  with external partners, so that we advance new breakthroughs, improve access to  our medicines and vaccines, and nurture the growth of our business.",Social - Access_And_Affordability,0.3156793117523193
115,"We engage  with foundations, multilaterals, non-governmental organizations, and coalitions,  including groups like the World Health Organization, Save the Children, Access  to Medicine Foundation, and Science Based Targets Initiative (SBTi)—among  others—on issues including access to medicines and vaccines, environmental  concerns, transparency, and business ethics.",Governance - Business_Ethics,0.9634410738945008
116,We also engage suppliers to  understand their needs and support their efforts to reduce their environmental  footprints.,Social - Supply_Chain_Management,0.8920417428016663
117,"We work alongside global health and public health organizations to  expand access to our medicines and vaccines, including on-the-ground support  for health and education initiatives, and partner with academic and industry  research alliances to help increase the number of future breakthroughs for  patients.",Social - Access_And_Affordability,0.7635679841041565
118,"We also educate medical organizations about the latest research on our  medicines and vaccines, our pipelines, and ways to access our products.",Social - Selling_Practices_And_Product_Labeling,0.4818311929702759
119,"14 Pfizer 2022 ESG Report Introduction Governments, policymakers, and regulators  We engage policymakers and regulators to understand shifting external and  regulatory landscapes to help ensure that issues facing our company and our  commitment to breakthroughs that change patients’ lives are communicated.",Governance - Management_Of_Legal_And_Regulatory_Framework,0.9578863978385924
120,"We  have consistent, two-way dialogue with policymakers through targeted one-on-  one engagement and through trade association and industry bodies alongside  biopharmaceutical peers to help guide our medicines from the laboratory to  patients.",Governance - Management_Of_Legal_And_Regulatory_Framework,0.6491051316261292
121,We also provide policymakers with updates on our medicines and  vaccines to facilitate decision-making and improved patient outcomes.,Social - Access_And_Affordability,0.5182213187217712
122,"=] Pfizer  The stories that follow highlight our extensive efforts in our  priority areas, leading with our global work to help tackle the  challenge of health inequity through the launch of An Accord  for a Healthier World.",Social - Employee_Health_And_Safety,0.7658220529556274
123,"We also cover the work we do directly  with patients, advocates, and caregivers to carry out our core  purpose: Breakthroughs that change patients’ lives.",Social - Access_And_Affordability,0.5764465928077698
124,> Governance > Performance > Appendix >  Breaking down barriers with a new collective and holistic approach  Ue  Health inequity is one of the greatest and most urgent challenges we face today.,Governance - Systemic_Risk_Management,0.5358818769454956
125,Half of the  world’s population cannot access the healthcare they need.,Social - Access_And_Affordability,0.7891799211502075
126,"Significant improvements in local  health systems are still needed in many lower-income countries to ensure broader and better  access to care.""  Consistent with Pfizer's responsibility to respect the right to health, we are always looking for  new ways to tackle this challenge—not only by working to assure consistent supply and access  to medicines and vaccines, but also by addressing other system barriers that impede progress.",Social - Access_And_Affordability,0.8856600522994995
127,That's why Pfizer launched An Accord for a Healthier World in 2022 to apply what we learned and  catalyze a collective effort to help address the health equity gap.,Social - Access_And_Affordability,0.3564963936805725
128,"The Accord is a first-of-its kind,  comprehensive initiative focused on helping increase access to medicines and vaccines for 1.2  billion people living in 45 lower-income countries that have historically been most vulnerable to  healthcare inequalities.",Social - Access_And_Affordability,0.7814303040504456
129,"Alongside governments and global health organizations, Pfizer aims to  co-create scalable and sustainable solutions to help address systemic barriers to better health.",Governance - Systemic_Risk_Management,0.9575021266937256
130,"The Accord is focused on working to find faster, more efficient pathways for supply of medicines and vaccines as well as strengthening the resources, capabilities, and platforms  that will help enable sustainable access to those medicines.",Social - Access_And_Affordability,0.4323794841766357
131,"This includes technical expertise,  training, diagnostic capacity, innovative financing, and more within the public health system.",Social - Access_And_Affordability,0.4928075671195984
132,We aim for the Accord to be a catalyst bringing together governments and multi-sector  organizations to effectively identify and apply solutions across the entire healthcare ecosystem.,Governance - Systemic_Risk_Management,0.2359222769737243
133,"No one government, organization, or company can close the health equity gap alone.",Governance - Management_Of_Legal_And_Regulatory_Framework,0.5543408989906311
134,"USSelsairiines com  a Ie reeeaes, SVIAeeeee  Vaccine delivery in Rwanda  At the launch of the Accord in May 2022, Pfizer initially committed to provide on a not-for-profit  basis all our innovative medicines and vaccines available in the U.S.",Social - Selling_Practices_And_Product_Labeling,0.3010347783565521
135,or the European Union  to 1.2 billion people in 45 lower-income countries.,Social - Employee_Engagement_Inclusion_And_Diversity,0.3245889842510223
136,"However, in the early months following  the launch as Accord outreach began, the resounding feedback from governments was that  access to a broader and more immediate scope of consistent, high-quality products is needed  for meaningful and sustainable transformation.",Governance - Product_Design_And_Lifecycle_Management,0.9644633531570436
137,"Based on this feedback and to better align  with unmet patient needs, Pfizer made the decision to significantly expand the offering from  the initial patented medicines and vaccines to the full portfolio of medicines for which Pfizer  ' https://www.who.int/news/item/13-12-2017-world-bank-and-who-half-the-world-lacks-access-to-essential-health-services-100-million-still-pushed-into-extreme-poverty-because-of-health-expenses#:~:text=At%20least%20half%200f%20  the,out%200f%20their%200wn%20pockets  16 Pfizer 2022 ESG Report Impact Stories eS Pfizer  — Continued  has global rights.",Social - Access_And_Affordability,0.6076124310493469
138,The portfolio offered by Pfizer on a not-for-profit basis through the Accord  expanded from 23 to hundreds of patented and off-patent products that help treat or prevent  many of the greatest infectious and non-communicable disease threats faced today in lower-  income countries.,Social - Access_And_Affordability,0.1082601100206375
