esg_text,NER_Results
"CHED counter stock cade: 992 / RMB counter stock  code: 80992) Cthe Company’), which covers the  Fiscal Year (FY) 2023/24 (April 1, 2023 - March 31  2024), This report is consicered ; a s cornpanion  Gocurment ta the Carmparry’s $ O23 :  = t, The annual ESG gate o car be fou nd i in n the  Management’ S discussion & analysis of the Annual  Report.","{'numbers': ['80992', '2023/24'], 'metrics': ['992 / RMB'], 'dates': ['the  Fiscal Year (FY', 'April 1, 2023 - March 31  2024', 'annual']}"
"The content of this report is guided by the ESG  Reporting Guide as set out in Appendix C2 to the  Rides Governing the Listing Rules of Securities (Listing  Rules} on The Stock Exchange of Hong Kong Limited  (the Hong Kong Stock Exchange), the Global  Reporting Initiative CGR} Standards, and the needs of  Lenave’s stakeholders.",
This report has been prepared  with reference to the GRI 2021 Standards and in  accordance with the ESG Reporting Guide of the  Honda Kong Steck Exchange.,
The GRE content index  and the Hong Kong Stock Exchange’s ESG Reporting  Guide content index are included in the Appendix of  this report.,
"The Company has compliect with all  mandatory disclosure requirements and “camply or  explain’ provisions, including following the reporting  principles, as set out in the ESG Reporting Guide of  the Hong Kong Stock Exchange.",
The Company adheres to the following recorting  orinciptes in preparing the report:  Materiality - The Company conducts regular  materiality assessments and stakeholder engagernent  to identify and report on material ESG issues to  investors and other stakeholders.,
"; Lenovo Group Limited is the ultimate  develop, manufacture, or distribute produc Accracdited third parties have provided verification  services for certain energy, greenhouse gas (GHG)  emussions, waste, ang water data in this report.","{'numbers': ['third'], 'metrics': [], 'dates': []}"
All disclosures and results are  for the Company's 5 progress in PY 2022/24 unless  otherwise noted.,"{'numbers': ['5'], 'metrics': [], 'dates': []}"
"Jeannie Kwong, ESG Reporting Manager  BOOT Davelooment Drive, Morrisville, NC 27560  Email environmentailenove  e holding compary of Lenovo Group.","{'numbers': ['27560'], 'metrics': [], 'dates': []}"
"4s 4 holding cornpany, it does not design,  ts or services, or control any activities of the Company's subsictaries in the  design, develooment, rnanufacture, or distribution of products or services,  10 Lenovo Group Limited 2023/24 Environmental, Social ancl Governance Report  approximately 69,500 people around the world and  serving millions of customers every day in 180  markets.","{'numbers': ['4s 4', '10', '2023/24', 'approximately 69,500', 'millions', '180'], 'metrics': [], 'dates': []}"
Lenovo acquired IBM’s PC Division in May 2005.,"{'numbers': [], 'metrics': [], 'dates': ['May 2005']}"
"Lenovo has held a  majority stake in Medion AG since July 2011, and in  October 2014, Lenovo acquired both Motorola  Mobility and IBM’s X86 servers.","{'numbers': [], 'metrics': [], 'dates': ['July 2011', 'October 2014']}"
"In November 2017,  Lenovo launched a joint venture with Fujitsu Limited.","{'numbers': [], 'metrics': [], 'dates': ['November 2017']}"
"In 2022, the Company announced a strategic  solutions powerhouse, leveraging the combined  strengths of both companies.","{'numbers': [], 'metrics': [], 'dates': ['2022']}"
was ranked #8 in Gartner’s Top 25 Global Supply  Chains in 2023.,"{'numbers': [], 'metrics': ['8'], 'dates': ['2023']}"
"To meet the demands of its diverse,  global customer base, Lenovo has established  company locations, research centers, and  manufacturing sites around the world.",
"January 2011, the Company announced a joint venture  Global supply chain profile  Markets  1OM+  Order lines  per year 1Bt 30+ #8  Global Global Gartner 2023  F Global Supply Chain manufacturin customers Sak g Top 25 (up 1 place)  120M+ , >$150M  Shipments Digital  transformation  oO |= | pi investment  wi Ce  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report partnership with PCCW Limited to form a technology  Lenovo has a flexible, resilient global supply chain that  S197]9| SAIINDEXA xlpueddy ssaiBoid [dy Wa}-6u07 +sjebie] pue Saniqoalqo ‘e.uUeUUOLeEd SWI SsouUjewW pajepllosuoy uUleyod Ajddns jeqojg sd.ueWaAODH |elD0S jeJUsWUOIIAUQ  variety of informed perspectives as it develops and  drives its ESG programs.","{'numbers': ['1OM+', '1', '120M+', '2023/24'], 'metrics': ['$150M'], 'dates': ['January 2011', '2023']}"
"Through ongoing  engagement with stakeholders, the Company  identifies ESG-related material topics through a  process that includes a range of inputs which align  with its significant environmental, social, and  governance impacts; or that substantively influence  the decisions of stakeholders.",
"The sources of input  include but are not limited to customer surveys,  benchmarking of industry trends, ESG reporting  frameworks, investor outreach, requirements under  the Listing Rules, regulatory agencies,  non-governmental organizations (NGOs), and various  internal and external stakeholders.",
"Lenovo’s stakeholders  e Lenovo’s impact on the economy, environment,  and people, including human rights  This prioritization exercise is carried out using  stakeholder inclusiveness and materiality principles.",
"The information derived from this process helps set  the Group’s ESG goals, targets, disclosure practices,  and ongoing engagement with its stakeholders.",
The  material topics identified for the FY 2023/24  reporting year are detailed in the chart below.,
"The Board of Directors and the ESG Executive  Oversight Committee (ESG EOC) of the Company have  reviewed and approved the materiality assessment  process and results, ensuring that there is alignment  with the Group’s policies, business strategies, and risk  priorities.",
Details regarding the Company’s ESG  Governance and the role of the ESG EOC are included  in the Governance section of this report.,
Environmental  Climate change  Energy management  Product end-of-life management  Product energy efficiency and  carbon footprint  Product materials  Product packaging  Product repairability  Supply chain management -  environmental  Transportation and distribution  Waste management  Water management Social  Community engagement  Ethical Artificial Intelligence (Al)?,
"Human rights  Health and safety  Diversity and inclusion  Labor practices  Philanthropy Governance  Cyber security and data privacy  Ethics and integrity  Innovation  Product quality and safety  Regulatory compliance  Reporting and disclosures  Stakeholder engagement  This topic was initially identified as a social matter during the Company’s materiality assessment but as the  importance of Al has grown, the impacts are being managed through the Company's governance  practices.",
"As a result, this topic is discussed in the Governance section.",
Direct and indirect  stakeholder engagement is conducted through regular  business practices or through interactions with  relevant stakeholders.,
"12 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  Investor Relations;  Analysts;  shareholders;  financial institutions;  Hong Kong Exchanges and  Clearing Limited Investors  Fas  Employees 969 Human Resources; Talent  Acquisition; Philanthropy;  Social Impact subject matter  experts  Customers  O ODOC Sales; Customer Support Communication  methods and channels  Interim and Annual Reports;  Annual General Meeting  (AGM) and other General  Meetings; website; webcasts  Internal emails; surveys;  intranet; Employee Resource  Groups; social media  Direct interactions with  customers via meetings or  written responses; customer  focus groups; responses to  customer-requested surveys;  website; social media Communication  topics  Quarterly, interim, and  annual financial results;  climate change; Diversity and  Inclusion (D&I); corporate  governance; ESG initiatives,  goals, and targets  Training and development;  D&l; corporate governance;  climate change; health and  safety; community  engagement  Product energy and carbon  data; corporate climate  change metrics; product  recycled content  information; supplier due  diligence information  Supply chain  ott Suppliers; Global Supply  Chain Surveys and audits;  Responsible Business  Alliance (RBA); Global  Supply Chain; website;  newsletters Environmental performance;  human rights; labor  practices; distribution; health  and safety; D&l; climate  change; supplier training  NGOs;  philanthropic organizations;  civic and community  partnerships;  regulators and legislators Communities  Oo O  + 88 Community service events;  surveys; emails; service  campaigns; website; social  media Access to technology;  STEM education; employee  engagement; natural disasters  Advocacy groups  @ Global, national, and local  oO O O alliances; NGOs Technical working groups;  webinars; newsletters Supply chain due diligence;  climate change; water  management; product end-of-life  management; circular economy;  D&l; philanthropy  Company Secretary;  Directors; Lenovo  Executive Committee; ESG  Executive Oversight  Committee Board of Directors  o2o Pe” Board meetings and  newsletters; emails; AGM Corporate governance; ESG  oversight; climate change  topics; ESG risks and  opportunities; ethics and  compliance  Regulators and  legislators Government agencies;  | patent board; Government ny B Affairs; Legal Compliance assessment  tools; regulatory tracking  services; external legal  resources; newsletters;  webinars Regulatory requirements and  trends; compliance  requirements; data security  and privacy requirements;  labor practice requirements  Industry  associations National or local industry  associations; certification or  conformance groups; industry  councils; standards development  working groups Newsletters; meetings;  webinars; emails Policy recommendations;  regulatory updates and  standards development  activities for energy efficiency;  chemicals restrictions; ecolabels  These lists depict representative examples and are not exhaustive.","{'numbers': ['12', '2023/24'], 'metrics': [], 'dates': ['Annual', 'Quarterly', 'annual']}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  xlpueddy ssaiBoid |qy Wa}-6u07 $ sjebue] pue sanioalqo ‘soueWOLeEd SW SoUJOW pajepljosuoDy uleyo Ajddns jeqojD seduUeWIaAODH |elID0S JeJUeWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy   Development Goals  SUSTAINABLE 4  a ""% DEVELOPMENT : sALS ;  With operations and supply chains that extend around  the world, the Company is uniquely positioned to  support the global collective impact of business by  aligning its practices to a sustainable and inclusive  future.","{'numbers': ['2023/24'], 'metrics': [], 'dates': []}"
"Since 2009, the Company has continued its  role as a signatory supporter to the United Nations  Global Compact (UNGC), a globally recognized  platform that provides a blueprint for businesses that  want to achieve a more sustainable future for all.","{'numbers': [], 'metrics': [], 'dates': ['2009']}"
"As a  business participant in the UNGC, the Company  strives to demonstrate continuous improvement as it  aligns operations and practices with the ten principles  of the UNGC.","{'numbers': ['ten'], 'metrics': [], 'dates': []}"
"The principles promote a value system  that supports the fundamental responsibilities in the  areas of governance, human rights, labor,  environment, and anti-corruption in the markets  where the Company operates.",
WE SUPPORT  The Company’s ESG initiatives include activities that  directly and indirectly support the United Nations  Sustainable Development Goals (SDGs).,
"Environmental  Climate change  Energy management  Product energy efficiency  Product carbon footprint  Product end-of-life management  Product materials  Product packaging  Product repairability  Supply chain management -  environmental  Transportation and distribution  Waste management  Water management  1 PARTNERSHIPS  FORTHE GOALS i  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   Social  Diversity and inclusion Cyber security and data privacy  Ethical management of Al Ethics and integrity  Health and safety Innovation  Human rights Product quality and safety  Labor practices Regulatory compliance  — Philanthropy and community  —— engagement  GOOD HEALTH DECENT WORK AND  AND WELL-BEING ECONOMIC GROWTH  u/s ii  1 PARTNERSHIPS  FOR THE GOALS 16 PEACE, JUSTICE SE  INSTITUTIONS  xlpueddy ssaiBoid [dy Wa}-6u07 +sjebie] pue Saniqoalqo ‘e.uUeUUOLeEd SWI SsouUjewW pajepllosuoy uUleyod Ajddns jeqojg sd.ueWaAODH |elD0S jeJUsWUOIIAUQ  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   18 Environmental management system (EMS)  19 Climate change  25 Waste  26 Water  27 Environmentally conscious products  3/ Packaging  39 Product end-of-life management (PELM)  4O Circular economy  4] Biodiversity   system (EMS)  The Company manages the environmental elements  af its operations through a global environrnenta!","{'numbers': ['1', '2023/24', '1', '16', '2023/24', '18', '19', '25', '26', '27', '3/', '39', '4O', '4'], 'metrics': [], 'dates': []}"
"management system CEMS) that covers the  Campany's worldwide oroduct desian, develoomert,  and manufacturing operations Cincluding distribution,  fulfilment, and internal repair operations) for  computer products and devices, data center products,  mobile devices, smart devices, accessories, and  converged network equipment.",
"The Company has established, implemented, and  maintained an Environrnental Affairs Policy which can  be viewed here.",
"Within the framework of the Cornpany’s EMS, it  annually conducts a Significant Environmental Aspect  (SEA) evaluation orocess where It identifies and  evaluates the aspects of its operations that have  actual or ootential significant impacts on the  environment using a methodology that includes input  frorn the Company's Enterprise Risk Management  (ERM) process.","{'numbers': [], 'metrics': [], 'dates': ['annually']}"
"Perforrnance targets are established for  select environmental aspects annually with  considerations including Environmental Affairs Policy,  regulatory requirements, customer requirements,  stakeholder inout, environmental and financial irmpact,  and management directives.","{'numbers': [], 'metrics': [], 'dates': ['annually']}"
"During FY 2023/24, the Company’s significant  environmental aspects included:  ° Product materials - including use of recycled  olastics and environmentally oreferable materials  where possible  ° Product packaging  e Product energy consumption and emissions  * Product end-of-life management  * Site alr ernissions, specifically greenhouse gas  CGHG) emissions  s Site energy consumption  6 Supolier environmental performance  ° Product transportation  ° Waste management  ° Water management  e Impact of Lenovo's net-zero commitment Objective and performance targets were established  for the aspects listed above.","{'numbers': ['6', 'net-zero'], 'metrics': [], 'dates': ['FY 2023/24']}"
"The Company’s  performance against these objectives and targets is  ay  The Company's energy, GHG emissions (Scope Tt and  2), waste, and water data are externally verified to a  reasonable level of assurance.","{'numbers': ['2'], 'metrics': [], 'dates': []}"
The Carnpany’s GHGS  emissions (Scape 3) data is externally verified to a  lirnited level of assurance.,
"The FY 2023/24  Verification Statements for GHG, Energy, Waste and  The Company has developed and tested an innovative  ESG data managernent system called Lenove ESG  Navigator that helos monitor key ESG metrics and  deliver near-real-time insights.",
"in FY 2023/24, the  Company deployed Lenovo ESG Navigator at two  manufacturing sites in China - the Compary’s Lenovo  South Smart Carnous and Tianjin Smart Carnpus  facilities - where it is being used to collect and  monitor environmental data, including energy,  greenhouse gas emissions, water, and waste data.","{'numbers': ['two'], 'metrics': [], 'dates': ['FY 2023/24']}"
"to have many benefits  inclucing: driving progress toward the Company’s  net-zero emissions target and other environmental  targets, reducing manual workload related to data  collection and reporting, improving data accuracy,  providing near-real-time tracking and analysis of  environmental KPIs, centralizing ESG data and  documents, and facilitating ESG knowledge sharing.","{'numbers': ['zero'], 'metrics': [], 'dates': []}"
"8 Lenovo Group Limited 2023/24 Environmental, Social ancl Governance Report  contributing to climate change and concurs with the  findings of current climate science as described in the  latest assessment report from the Intergovernmental  Panel on Climate Change (IPCC).","{'numbers': ['8', '2023/24'], 'metrics': [], 'dates': []}"
"The Company also  recognizes that if left unchecked, current trends in  climate change present serious economic and societal  risks and agrees that specific actions are needed to  stabilize atmospheric GHG levels and hold global  average temperatures to acceptable increases.",
The Company is working both internally and externally  to help minimize and mitigate climate risks.,
"It is  committed to reducing the global carbon footprint of  its business activities and has demonstrated its  commitment by:  ° Implementing a corporate Climate and Energy  Policy  ° Executing a long-term comprehensive Climate  Change Strategy aligned to validated SBTi  net-zero targets  ° Setting corporate-wide objectives and targets  which support the above Policy and Strategy  N2O  co,  Scope 3 Upstream  e Purchased goods and services  e Capital goods  Fuel and energy related  activities not included in Scope  1and2  Transportation and distribution  Waste generated in operations  Business travel  Employee commuting  ¢ Leased assets Lenovo GHG  Emissions  Scope 1 — direct emissions from  operations that are owned or  controlled by Lenovo  from the generation of  purchased or acquired electricity,  steam, heating or cooling  consumed by Lenovo The Company’s Chief Legal & Corporate Responsibility  Officer provides executive leadership for its ESG  position, including climate change programs.","{'numbers': ['1and2'], 'metrics': [], 'dates': []}"
"In  addition, the ESG Executive Oversight Committee  (EOC), chaired by the Chief Legal & Corporate  Responsibility Officer, provides strategic direction and  facilitates the coordination of ESG efforts across the  Company, including proposing recommendations for  the effective management of ESG programs.",
"The ESG  EOC is comprised of senior management from across  the business and functional areas and is chartered to  promote a culture that encourages strong ESG  performance, including compliance and leadership  activities.",
"Concentrated discussion on ESG issues, including  climate change, assists the Board in making the most  appropriate decisions and providing oversight based  on the long-term risks and opportunities that impact  its stakeholders and the business.",
"At least annually,  the Board is briefed on the Company’s ESG KPIs  including the Company’s climate strategy and  progress towards its climate change mitigation goals.","{'numbers': ['At least annually'], 'metrics': [], 'dates': []}"
Scope 3 Downstream  * Transportation and  distribution  * Processing of sold products  ¢ Use of sold products  Scope 2 — indirect emissions ¢ End-of-life treatment of  sold products  ¢ Leased assets  * Franchises  « |Investments  Notes: Scope 3 categories in bold black are tracked and evaluated and in some cases as described in the following sections actions are being  taken to drive emissions reductions.,"{'numbers': ['3'], 'metrics': [], 'dates': []}"
Scope 3 categories in red are not relevant to the Company.,"{'numbers': ['3'], 'metrics': [], 'dates': []}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 19  xlpueddy sseiBoid |qy Wa}-6u07 + sjebue] pue sanioalqo ‘soueWOpLeEd SW SOUJOW pajepllosuoD uleyo Ajddns jeqojp sedueWIaAODH |elID0S jeJUsWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy  action by committing to align with 1.5°C and net-zero through the Business Ambition for 1.5°C campaign, an  official partner of the United Nations Framework Convention on Climate Change (UNFCCC) Race to Zero  campaign.","{'numbers': ['2023/24', '19', '1.5', 'net-zero', '1.5', 'Zero'], 'metrics': [], 'dates': []}"
"The Company is an early adopter of the science-based emissions reduction approach,  after receiving SBTi approval for near-term 2030 emissions reduction targets in 2020.","{'numbers': [], 'metrics': [], 'dates': ['2030', '2020']}"
"For near-term targets,  the Company’s Scope 1 and 2 emissions reduction targets are consistent with limiting warming to 1.5°C, the  most ambitious goal of the Paris Agreement, and its Scope 3 emissions reduction targets meet ambitious  criteria according to the SBTi’s methodology, which means they are in line with current best practices.","{'numbers': ['2', '1.5'], 'metrics': [], 'dates': []}"
"On January 19, 2023, the Company announced its SBTi validated target to reach net-zero greenhouse gas  (GHG) emissions by 2050.","{'numbers': ['net-zero'], 'metrics': [], 'dates': ['January 19, 2023', '2050']}"
"The Company’s net-zero target is to achieve a 90 percent reduction across Scope 1,  2, and 3 emissions.","{'numbers': ['2', '3'], 'metrics': ['90 percent'], 'dates': []}"
The Company was the first PC and smartphone maker and one of the first 139 companies in  the world to establish a net-zero target validated by SBTi.,"{'numbers': ['first', 'one', 'first', '139'], 'metrics': [], 'dates': []}"
"The Company’s long-term 2050 net-zero target  coincides with its near-term, SBTi-validated 2030 emissions reduction targets.","{'numbers': [], 'metrics': [], 'dates': ['2050', '2030']}"
"In September 2023, Lenovo  joined the UN Global Compact Forward Faster initiative to accelerate private sector action towards the SDGs,  specifically committing to the climate action and water resilience targets within the initiative.","{'numbers': [], 'metrics': [], 'dates': ['September 2023']}"
"By working with SBTi and aligning to their Net-Zero Standard, which is also the world’s first framework for  corporate net-zero target setting, the Company is taking a scientific, collaborative, and accountable approach  to reducing emissions.","{'numbers': ['net-zero'], 'metrics': [], 'dates': []}"
Aligning goals to the SBTi helps hold companies accountable for their emissions  reduction.,
Lenovo’s mature ISO 14001 Environmental Management System (EMS) gives the Company a strong framework  on which to set annual targets to help us drive progress towards its 2030 and 2050 SBTi goals.,"{'numbers': [], 'metrics': [], 'dates': ['annual', '2030', '2050']}"
"SCIENCE  BASED  TARGETS  DRIVING AMBITIOUS CORPORATE CLIMATE ACTION  20 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  achievement, and progress against the targets in FY 2023/24.","{'numbers': ['20', '2023/24'], 'metrics': [], 'dates': ['FY 2023/24']}"
"LENOVO EMISSIONS  REDUCTION NEAR-TERM TARGETS  Reduce absolute Scope 1+ ROAD MAP  Hierarchical combination of energy  efficiency, on-site renewable energy STATUS AS OF FY 2023/24  BASE YEAR: FY 2018/19 FY  2029/30  TARGET  ;~> - Scope 2 GHG emissions °  leaa (related to Lenovo’s generation, and renewable energy On-Track .","{'numbers': ['1', '2023/24', '2018/19'], 'metrics': ['2029/30  TARGET'], 'dates': []}"
"50%  mM operations) by 50% commodities  Reduce Scope 3 GHG  emissions (value chain) from Reduce product emissions through energy  use of sold products ~35% on efficiency improvements, engaging On-Track !","{'numbers': ['3'], 'metrics': ['50%', '50%'], 'dates': []}"
- 35% —T— average for comparable customers to use more renewable energy  products  * Inclusion of climate change requirements  in Supplier Code of Conduct  Reduce Scope 3 GHG * Supplier climate data collected annually  emissions (supply chain) from from subset of suppliers  procured goods and services * Climate change KPIs included in supplier On-Track' - 66.5%  tt 66.5% per million US$ gross ESG scorecards (evaluation process)  profit * Expand supplier program to greater  number of suppliers/ data capabilities  and SBTi level of commitment  * Modal shift to lower carbon modes of  emissions from global logistics transport  operations by 25% per * Optimization of transport planning On-Track !,"{'numbers': ['3'], 'metrics': ['66.5%', '66.5%', '25%'], 'dates': ['annually']}"
"- 25%  tonne-km of transported  product | Reduce Scope 3 GHG  LENOVO EMISSIONS  REDUCTION LONG-TERM TARGETS  Reduce all GHG emissions by  90% - absolute reduction of  Scope 1, 2 and 3 emissions.","{'numbers': ['3', '2', '3'], 'metrics': ['90%'], 'dates': []}"
"Neutralize remaining 10% of  emissions through carbon  capture, reforestation, or other  means * Increase of vehicle utilization  *« Improvement of vehicle fuel efficiency  ROAD MAP  Above concepts continue drive energy  efficiency at Lenovo sites, for products,  expand supplier program in commitment STATUS AS OF FY 2023/24  BASE YEAR: FY 2018/19  On-Track !","{'numbers': ['2023/24', '2018/19'], 'metrics': ['10%'], 'dates': []}"
FY  2049/50  TARGET  - 90%  ' The Company is in the process of improving input data for this Scope 3 category.,"{'numbers': [], 'metrics': ['2049/50  TARGET  -'], 'dates': []}"
"In the FY 2024/25 ESG Report, overall supporting data and target status  will reflect any improved input data.","{'numbers': ['2024/25'], 'metrics': [], 'dates': []}"
