esg_text,country,industry,company,year,labels
"We have installed energy- efficient equipment, optimised our air conditioning usage and retrofitted existing light fixtures.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2024, we replaced all fluorescent lights with LEDs and we aim to Install solar panels across our properties from FY2025 onwards.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"This year, we have also enhanced our GHG reporting by including Scope 3 GHG emission calculations on two categories: 1) Purchased goods and services and 2) Capital goods.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Our climate-related disclosures were expanded to our second year of reporting.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"This is in compliance with the SGX’s phased approach recommendations and aligned with the Task Force on Climate-related Financial Disclosure (“TCFD”) recommendations, underscoring our proactive approach to enhance the resilience of our business against climate-related risks.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Our sustainability reporting has been subject to an internal review, affirming our commitment to transparency and accountability.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"As ECON advances steadily, we remain cautious and prudent in light of rising inflation and economic uncertainties.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Our commitment to sustainability is unwavering and we are dedicated to further integrating ESG factors at the core of our business.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"We strive to consistently provide outstanding care, service and attention, growing our reputation as a reliable healthcare services brand.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"+ This document has been prepared by the Company and its contents have been reviewed by the Company's sponsor, R & T Corporate Services Pte.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Ltd.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"(""Sponsor""), for compliance with the relevant rules of the Singapore Exchange Securities Trading Limited (""Exchange’).",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
This document has not been examined or approved by the Exchange.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The Exchange assumes no responsibility for the contents of this document including the correctness of any of the statements or opinions made or reports contained in this document.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The contact person for the Sponsor is Mr.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Howard Cheam Heng Haw (Telephone Number: +65 6232 0685), R & T Corporate Services Pte.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Ltd., at 9 Straits View #06- O07, Marina One West Tower, Singapore 018937."" MISSION To be a premium and leading brand in healthcare services in the Asia-Pacific region, recognised by our customers for VISION Provide high quality and customer-focused healthcare services OUR PHILOSOPHY Our ECON Philosophy is symbolised by the nurturing of a Bonsai - an art that requires passion, dedication, patience and skill.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"With care, the Bonsai grows and blossoms beautifully.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"We believe that by caring from the heart, seniors will flourish as they age and live to their fullest potential.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"We are here to journey together, uncover, celebrate and live out that potential with seniors and families.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"our holistic approach, personal touch and technological advancements.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"WHO WE ARE We are the leading private nursing home operator in Singapore and Malaysia, with a growing presence in China.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Caring for seniors since 1987, ECON is a pioneer in senior care, recognised by our customers for our quality senior care services in Singapore and the Asia-Pacific Region.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Leveraging our resilient business model, we are well positioned to capitalise on the growth opportunites brought about by increasing demand for senior care driven by Asia’s aging populations.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Committed to our social mission of caring for families and senior communities, we will continue to innovate and offer models of care that are relevant and future-ready, delivering care that truly matters.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"EFFECTIVE Climate action towards better energy efficiency and environmental circularity Efforts to promote utlisation of energy efficient equipment and effectively manage air conditioning usage to reduce Scope 2 emissions 49) Reduction of electricity consumption of 12% per sqm in FY2024, o> Introduced Scope 3 GHG accounting with a purpose to track our overall carbon footprint ECON HEALTHCARE (ASIA) LIMITED ANNUAL REPORT 2024 1 9 ENHANCE Service excellence and care for our people and communities Plans to assess the quality indicators we track monthly, such as a decrease in falls and zero medication errors 100% of our workforce received regular performance and career development reviews Plans to incorporate clinical audit checks every six months in conjunction with our nursing home audit STRENGTHEN Trust and integrity in our business relationships and operations No whistle blowing case reported during the year Introduced two new policies, Conflict of interest and board diversity policy i=in Zero confirmed reported incidents of corruption (GRI 2-1, 2-2, 2-3, 2-5, 2-6) SCOPE AND BOUNDARY ECON’s sustainability report provides comprehensive coverage of our sustainability strategy, achievements, and initiatives pertaining to our identified ESG material topics for the reporting year from 1st April 2023 to 31st March 2024 (""FY2024""), reported on an annual basis.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The sustainability information presented in this Report only covers our nursing home operations in Singapore.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The assets in Malaysia and China are presently excluded from the reporting scope due to Inadequate data availability.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"However, we are committed to expanding our reporting scope and intend to include Malaysia’s performance data from FY2025 onwards.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In March 2024, we finalised the acquisition of an ambulance and medical transport services company.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Due to the limited timespan between the acquisition and the end of the reporting period, information relating to this new acquisition has not been included into this report.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
This Sustainability Report should be read in conjunction with the financial information provided in our 2024 Annual Report.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The table below provides an overview of the geographical locations of our operations and the specific activities in each location.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Location Operations Singapore Residential care, home care, day care, Traditional Chinese Medicine (“TCM”), Ambulance and Medical Transport Malaysia (Puchong, Johor Bahru) Residential care, home care China (Chongaing) Residential care, home care, day care REPORTING FRAMEWORK This report has been compiled in accordance with the Global Reporting Initiative (""""GRI"") Standards 2021.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The GRI standards were chosen because they are the most widely accepted global standard for reporting on ESG matters.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The United Nations Sustainable Development Goals (UN SDGs) have been integrated into the report, aligning with our material ESG issues to acknowledge and emphasise our obligations and pledges to global, societal goals.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
We have also implemented the Financial Stability Board's TCFD recommendations in our sustainability report and disclosed our assessment of climate risks in accordance with SGX's phased approach to climate reporting.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Further information can be found under the Environmental pillar.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"This report complies with Rules (711A and 711B) of the Listing Manual Section B: Rules of Catalist (""Catalist Rules"") of the SGX-ST and the Sustainability Reporting Guide outlined in Practice Note 7F of the Catalist Rules.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"External assurance was not obtained for this report; however, we have conducted an internal review on the sustainability reporting process related to the preparation of this report in accordance with Rule 711B (3) of the Catalist Rules.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
ECON highly values the input and inquiries from all stakeholders as they play a crucial role in shaping ECON's path towards sustainability.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"For any inquiries or feedback, feel free to reach out to enquiry@econhealthcare.com.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"ECON SUSTAINABILITY FRAMEWORK VISION Provide high quality and customer- focused healthcare services UN SDGs MISSION Impacted To be a premium and leading brand in healthcare services in the Asia-Pacific region, recognised by our customers for our holistic approach, personal touch and technological advancements.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"GOOD HEALTH AND WELL-BEING EFFECTIVE ENHANCE STRENGTHEN climate action towards service excellence trust and integrity better energy efficiency and care for in our business and environmental our people and relationships and circulatory communities operations AFFORDABLE AND GLEAN ENERGY <> ; 4 EXCELLENT SERVICE ©: ENERGY eee ey EFFICIENCY AND ETHICS AND DECENT WORK AND EMISSIONS INTEGRITY ECONOMIC GROWTH TRAINING AND wa DEVELOPMENT “xe 1 RESPONSIBLE CONSUMPTION ANDPRODUCTION Governance: Board of Directors and Management QO 13 i <> 1 PEACE, JUSTICE AND STRONG INSTITUTIONS ENABLERS Technological Personalised care Healthy and Successful Dedication to advancements to for every patient sustainable partnerships capital investments accelerate systems environment with the wider and technology to integration healthcare enhance facilities Qualified and community and assets productive workforce INTEGRATING SUSTAINABILITY PRACTICES ACROSS OUR NURSING HOMES.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"At ECON, we strive to become the top-tier brand within the healthcare service industry in the Asia-Pacific region.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"To accomplish this, we focus our sustainability approach on three core pillars - 1) effective climate action to improve energy efficiency and promote environmental circularity, 2) a commitment to enhance service excellence and care for our people and communities, and 3) a focus on strengthening trust and integrity in our business relationships and operations.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"We have identified four material ESG topics, namely 1) Energy Efficiency and Emissions 2) Excellent Service and Patient Safety 3) Training and Development 4) Ethics and Integrity, and mapped these topics to our three pillars and their corresponding UN SDGs.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
We have a governance framework that ensures effective implementation of our sustainability strategy and performance.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Underpinning our sustainability framework are six enablers that form the foundation of our sustainability approach and are key In pushing our business towards continued success.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"(GRI 2-12, 2-13, 2-14, 2-17) ECON has implemented a governance framework that clearly assigns responsibilities for overseeing the sustainability strategy throughout our entire business operations.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The Board Is responsible for supervising key management in the preparation of ECON's sustainability strategy and implementation of the strategy in business operations, monitoring and approving ESG material topics, reviewing the information disclosed in the sustainability report and setting of targets under the sustainability strategy.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
They also oversee the incorporation of ESG material topics into our overall business strategy.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The Management team, comprised of Heads of Department, oversees the execution of sustainability policies and practices, as well as tracks the performance and progress of ESG material topics and targets throughout the year.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Bi-annually, the Management team provides the Board with updates on the overall sustainability progress.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The Sustainability Working Group (“SWG”"") at ECON consists of department staff members who assist the Management team in enforcing sustainability practices.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The SWG is accountable for the coordination and compilation of performance data pertaining to ESG material matters.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The working group convenes on a regular basis to review, monitor, and evaluate sustainability initiatives, processes, procedures, and performance.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Joh Board of Directors Management Team Sustainability Working Group The Board of Directors are responsible b> The management team oversees the SS The SWG assists the Management for supervising the management, execution of sustainability policies team in enforcing sustainability which includes monitoring and and practices, as well as tracks the practices.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
It is accountable for the approving ESG material topics such performance and progress of ESG coordination and compilation of as the information disclosed in the material topics.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
performance data pertaining to ESG sustainability report and target-setting.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
material matters.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
ECON has put in place policies to uphold good governance practices within the company.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Our Conflict of Interest Policy delineates clear protocols for Directors in situations where their personal or business interests may intersect with those of the company.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Should a conflict arise, Directors are required to promptly disclose their personal or business interests at the Board meeting or submit a written notice to the Company detailing the nature of their interests and the conflict in question.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Our whistle-blowing policy allows stakeholders to confidentially report any concerns or observations, ranging from potential corporate misconduct to irregularities in financial reporting directly to the Chairman of the AC.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Board Directors must participate in sustainability training from one of the eight approved training providers to meet SGX's updated sustainability reporting standards, which as disclosed previously was completed by the Board in FY2023.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The remuneration for Executive Directors and specific key management personnel consists of both a fixed and variable component.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The variable component is tied to performance, reflecting the Group's overall performance as well as the individual performance of each Executive Director and key management personnel.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The RC and the Board regularly assess the performance of Executive Directors (if any) and the Group CEO (along with other key management personnel).,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
(GRI 2-29) 23 Regularly engaging with our stakeholders is crucial for fostering strong relationships.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
This practice enables us to gain valuable insights into their viewpoints on important matters and promptly address any concerns they may have.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"We proactively interact with our primary stakeholder groups via a wide range of engagement channels, as shown below.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Stakeholders Areas of Concern Our Approach Channels of Engagement Frequency of Engagement contractual terms & conditions suppliers Whistle-blowing channel Open communication channels Meetings, interviews Email correspondences or phone calls Investors Clear communication All investors SGX announcements, e Annually, as and on financial are informed of press releases when required performance any updates or Annual reports Management of developments Board Meetings nursing homes impacting ECON Updates on the company website Employees Professional Training opportunities Performance feedback | « Annually, as and development for employees’ Staff meetings when required Fair employment development Management e Monthly practices Career advancement, meetings e Monthly remuneration and welfare Clients Access to quality care Ensuring our clients Client engagement e As and when required and services received quality care programmes and Access to other and service activities In Nursing healthcare providers Homes and Medicare Centres Client feedback survey Suppliers Fair procurement Ensure transparent Tenders, request e As and when required & Business process business practices for quotations and Partners Compliance with in the selection of proposals Communities Valuable contribution and engagement with local communities Local employment Committed to give back to local communities by supporting community programmes to contribute back to society Corporate website Annual and Sustainability Reports Corporate Social responsibility inihatives e Annually, as and when required (GRI 3-1, 3-2) Enhancing our commitment to sustainability necessitates active engagement with our stakeholders to identify their concerns and prioritise addressing those that are most significant to them.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2023, we carried out our inaugural materiality assessment exercise after conducting a benchmarking analysis of relevant peers in the elderly care industry.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Through extensive desktop research on sustainability trends and best practices, four material topics were concluded after internal discussion.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
These were classified under three pillars of our sustainability framework and mapped to the relevant UN SDGs.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Upon review this reporting year and validation from the Board, the four material topics continue to remain relevant this year.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
ECON HEALTHCARE MATERIALITY MATRIX Very High Importance to internal stakeholders High Moderate Moderate Energy Efficiency and Emissions Training and Development High Importance to external stakeholders Materiality Matter GRI Topic Disclosure Ethics and Integrity Excellent Patient Quality and Safety Very High Contribution to the SDGs 1.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
EFFECTIVE climate action towards better energy efficiency and environmental circularity Energy Efficiency & Emissions GRI 302 - Energy 2016 GRI 305 - Emissions 2016 13.2 &> 2.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
ENHANCE service excellence and care for our people/communities Excellent Service GRI 403 - Occupational Quality and Health & Safety Patient Safety GRI 416: Customer Health and Safety 2016 Training & GRI 404 - Training & Development Development 3 iowaane (i 4 cream 8 isoeomr sion ui 3.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
STRENGTHEN trust and integrity in our business relationships and operations.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Ethics & Integrity GRI 205: Anti-Corruption ENVIRONMENT EFFECTIVE climate action towards better energy efficiency and environmental circularity Climate change has significant and extensive impacts that reach every corner of the globe and affect ecosystems, economies, and societies on a large scale.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The rise in temperatures, changes in weather patterns, and occurrence of extreme weather events are causing erratic changes to the structure of our planet.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"It is imperative to take immediate climate action by reducing greenhouse gases (GHG) emissions, shifting towards renewable energy sources, and implementing adaptation strategies to build resilience.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"To support Singapore's goal of reducing GHG emissions and achieving net zero emissions by 2050, ECON is implementing effective climate initiatives to improve energy efficiency and encourages environmental preservation.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Covered within this pillar Targets Our Performance in FY2024 e Energy Efficiency and Emissions e Reduce electricity consumption per e Reduction of electricity e Climate-Risk Assessment (TCFD) square metre by 3% from FY2024 consumption by 12% per sqm Energy Efficiency and Emissions WHY IS THIS TOPIC IMPORTANT?,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
(GRI 3-3) ECON prioritises the well-being of individuals and recognises our responsibility to minimise our environmental footprint.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"We understand the consequences of climate change and extreme weather events, which can result in physical harm or sickness, along with declining air quality that can exacerbate respiratory problems and impact human health and well-being.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
We also acknowledge the crucial role of energy in the healthcare sector.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"With a deep understanding of these factors, we prioritise this material issue as a primary objective in our sustainability reporting.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"SHORT, MEDIUM AND LONG-TERM TARGETS FY2024 PROGRESS AND PERFORMANCE Reduce electricity consumption per square metre by 3% Reduction of electricity consumption by 12% per sqm from FY2024 Policies, Practices and Performance (GRI 2-4, 2-23, 2-24, 302-1, 302-3, 305-1, 305-2, 305-3, 305-4) The rise in average temperatures in Southeast Asia, where our operations are primarily located demonstrates the effects of climate change.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"ECON acknowledges that a substantial portion of our operational emissions Is attributed to the electricity consumption by ACMV systems, ceiling lights, and medical machinery.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Therefore, it is crucial for ECON to implement resilient energy management strategies and invest in energy efficient technologies.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
This approach aims to enhance the quality of life for clients and ensure the long-term sustainability of our operations.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The ECON environmental committee, comprising Centre Managers, operations, and facilities team members, work together to track monthly energy usage in different business divisions.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
This group is instrumental in advancing our GHG accounting and monitoring efforts.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Centre Managers analyse utility consumption data during monthly nursing department meetings to identify key drivers of consumption trends.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Through this process, the team has successfully outlined the most efficient strategies to reduce energy usage by analysing consumption patterns.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
We track our energy usage against our baseline year FY2022 to analyse trends and improve energy efficiency while reducing greenhouse gas emissions.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Monitoring emissions helps us understand potential climate change risks and opportunities.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"While ECON has implemented several sustainability inithatives, no formalised environmental policy is currently in place.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In this reporting year, although our electricity consumption remains high, we have taken steps towards improving our energy efficiency.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
We incorporated energy-efficient equipment and established protocols for controlling air conditioning usage.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Our AC units are now programmed to operate at 24 degrees Celsius with reduced air flow, and their usage is restricted to 8 hours per day.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2023, we launched an initiative to replace all fluorescent light fixtures with LED lights in existing and new nursing homes upon malfunction, which has concluded.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2024, we have begun installing motion sensors in toilets and staircase lights which is slated for completion by FY2025.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Pushing forward our energy saving strategies, we plan to install solar panels at Braddell, Choa Chu Kang, and Upper East Coast nursing homes in FY2025, as well as to begin upgrading passenger lifts at Braddell and Upper East Coast nursing branches.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Although our existing energy consumption and GHG emissions disclosure only cover our nursing home operations in Singapore, we aim to expand our scope beyond Singapore in subsequent reportings.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2024, ECON consumed a total of 9.34TJ of energy, with purchased energy (electricity) making up approximately 98% of the total energy consumption.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The organisation's Scope 1 (direct) GHG emissions amounted to 8.86 tCO,e, whereas the Scope 2 (indirect) GHG emissions were 1,067.90 tCO,e.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Between FY2023 and FY2024, there was a 30.06% increase in emissions due to higher occupancy levels at our Henderson facility.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The remaining facilities collectively accounted for 7% of the total energy consumption, primarily as a result of extended use of air conditioning.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"As shown in the table below, our total emissions intensity decreased by 22%, indicative of improved energy efficiently.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The table below illustrate our energy consumption and GHG emissions’, with FY2022 as the baseline year for calculations.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Singapore Energy Consumption FY2022 FY2023 FY2024 Fuel consumption (TJ)° 0.22 0.24 0.12 Electricity consumption (kWh) 1,430,960.60 1,943,467.07 2,562,148.4 Electricity consumption (TJ) 5.15 7.00 9,22 Total energy consumption within ECON (TJ) 5.37 7.24 9,34 Energy intensity (TJ/m2) 0.00035 0.00024 0.00030 GHG Emissions* FY2022 FY2023 FY2024 Scope 1 emissions (tCO,e)° 16.61 17.86 8.86 Scope 2 emissions (tCO,e)° 583.55 810.04 1,067.90 Total emissions intensity (tCO,,e/m*) 0.039 0.028 0.034 2 GHG emissions are reported in line with guidance from the GHG Protocol Corporate Accounting and Reporting Standards.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Scope 1 emission factors are sourced from the 2006 IPCC Guidelines for Greenhouse Gas Inventories.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Scope 2 emission factors are sourced from relevant official documents from the Singapore government.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
°- The fuel consumption for FY2023 was calculated by taking into account the actual usage of 2 months and adjusting it for a full 12 month period.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"For FY2024, the calculation was based on 10 months of actual usage and adjustment is made for remaining months of the year.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
4 FY2022 and FY2023’s Scope 1 & 2 and emission intensity numbers have been restated due to calculations errors.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"> Scope 1 fugitive emissions are reported in line with GHG protocol, GHG inventory Guidance, utilizing the screening method for quantifying fugitive emissions from refrigeration and air conditioning equipment.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
6 Scope 2 emission factors are sourced from relevant official documents from the Singapore government.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2024, we embarked on developing an inventory for our Scope 3 GHG emissions, in line with the recommendations of the TCFD.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Scope 3 emissions include all indirect emissions occurring in a company’s value chain, and account for both upstream and downstream activities, This is essential for us and our stakeholders to understand the extent of the Group’s overall environmental impact, which will help us in refining our emissions reduction targets.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
