,country,region,subregion
160,Niger,Africa,Sub-Saharan Africa
161,Nigeria,Africa,Sub-Saharan Africa
162,Niue,Oceania,Polynesia
163,Norfolk Island,Oceania,Australia and New Zealand
164,North Macedonia,Europe,Southern Europe
165,Northern Mariana Islands,Oceania,Micronesia
166,Norway,Europe,Northern Europe
167,Oman,Asia,Western Asia
168,Pakistan,Asia,Southern Asia
169,Palau,Oceania,Micronesia
170,"Palestine, State of",Asia,Western Asia
171,Panama,Americas,Latin America and the Caribbean
172,Papua New Guinea,Oceania,Melanesia
173,Paraguay,Americas,Latin America and the Caribbean
174,Peru,Americas,Latin America and the Caribbean
175,Philippines,Asia,South-eastern Asia
176,Pitcairn,Oceania,Polynesia
177,Poland,Europe,Eastern Europe
178,Portugal,Europe,Southern Europe
179,Puerto Rico,Americas,Latin America and the Caribbean
180,Qatar,Asia,Western Asia
181,Réunion,Africa,Sub-Saharan Africa
182,Romania,Europe,Eastern Europe
183,Russian Federation,Europe,Eastern Europe
184,Rwanda,Africa,Sub-Saharan Africa
185,Saint Barthélemy,Americas,Latin America and the Caribbean
186,"Saint Helena, Ascension and Tristan da Cunha",Africa,Sub-Saharan Africa
187,Saint Kitts and Nevis,Americas,Latin America and the Caribbean
188,Saint Lucia,Americas,Latin America and the Caribbean
189,Saint Martin (French part),Americas,Latin America and the Caribbean
190,Saint Pierre and Miquelon,Americas,Northern America
191,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
192,Samoa,Oceania,Polynesia
193,San Marino,Europe,Southern Europe
194,Sao Tome and Principe,Africa,Sub-Saharan Africa
195,Saudi Arabia,Asia,Western Asia
196,Senegal,Africa,Sub-Saharan Africa
197,Serbia,Europe,Southern Europe
198,Seychelles,Africa,Sub-Saharan Africa
199,Sierra Leone,Africa,Sub-Saharan Africa
200,Singapore,Asia,South-eastern Asia
201,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean
202,Slovakia,Europe,Eastern Europe
203,Slovenia,Europe,Southern Europe
204,Solomon Islands,Oceania,Melanesia
205,Somalia,Africa,Sub-Saharan Africa
206,South Africa,Africa,Sub-Saharan Africa
207,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean
208,South Sudan,Africa,Sub-Saharan Africa
209,Spain,Europe,Southern Europe
210,Sri Lanka,Asia,Southern Asia
211,Sudan,Africa,Northern Africa
212,Suriname,Americas,Latin America and the Caribbean
213,Svalbard and Jan Mayen,Europe,Northern Europe
214,Sweden,Europe,Northern Europe
215,Switzerland,Europe,Western Europe
216,Syrian Arab Republic,Asia,Western Asia
217,"Taiwan, Province of China",,
218,Tajikistan,Asia,Central Asia
219,"Tanzania, United Republic of",Africa,Sub-Saharan Africa
220,Thailand,Asia,South-eastern Asia
221,Timor-Leste,Asia,South-eastern Asia
222,Togo,Africa,Sub-Saharan Africa
223,Tokelau,Oceania,Polynesia
224,Tonga,Oceania,Polynesia
225,Trinidad and Tobago,Americas,Latin America and the Caribbean
226,Tunisia,Africa,Northern Africa
227,Türkiye,Asia,Western Asia
228,Turkmenistan,Asia,Central Asia
229,Turks and Caicos Islands,Americas,Latin America and the Caribbean
230,Tuvalu,Oceania,Polynesia
231,Uganda,Africa,Sub-Saharan Africa
232,Ukraine,Europe,Eastern Europe
233,United Arab Emirates,Asia,Western Asia
234,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
235,United States of America,Americas,Northern America
236,United States Minor Outlying Islands,Oceania,Micronesia
237,Uruguay,Americas,Latin America and the Caribbean
238,Uzbekistan,Asia,Central Asia
239,Vanuatu,Oceania,Melanesia
240,"Venezuela, Bolivarian Republic of",Americas,Latin America and the Caribbean
241,Viet Nam,Asia,South-eastern Asia
242,Virgin Islands (British),Americas,Latin America and the Caribbean
243,Virgin Islands (U.S.),Americas,Latin America and the Caribbean
244,Wallis and Futuna,Oceania,Polynesia
245,Western Sahara,Africa,Northern Africa
246,Yemen,Asia,Western Asia
247,Zambia,Africa,Sub-Saharan Africa
248,Zimbabwe,Africa,Sub-Saharan Africa
