esg_text,NER_Results
"In 2022, the Company announced a strategic  solutions powerhouse, leveraging the combined  strengths of both companies.","{'numbers': [], 'metrics': [], 'dates': ['2022']}"
was ranked #8 in Gartner’s Top 25 Global Supply  Chains in 2023.,"{'numbers': [], 'metrics': ['8'], 'dates': ['2023']}"
"January 2011, the Company announced a joint venture  Global supply chain profile  Markets  1OM+  Order lines  per year 1Bt 30+ #8  Global Global Gartner 2023  F Global Supply Chain manufacturin customers Sak g Top 25 (up 1 place)  120M+ , >$150M  Shipments Digital  transformation  oO |= | pi investment  wi Ce  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report partnership with PCCW Limited to form a technology  Lenovo has a flexible, resilient global supply chain that  S197]9| SAIINDEXA xlpueddy ssaiBoid [dy Wa}-6u07 +sjebie] pue Saniqoalqo ‘e.uUeUUOLeEd SWI SsouUjewW pajepllosuoy uUleyod Ajddns jeqojg sd.ueWaAODH |elD0S jeJUsWUOIIAUQ  variety of informed perspectives as it develops and  drives its ESG programs.","{'numbers': ['1OM+', '1', '120M+', '2023/24'], 'metrics': ['$150M'], 'dates': ['January 2011', '2023']}"
"12 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  Investor Relations;  Analysts;  shareholders;  financial institutions;  Hong Kong Exchanges and  Clearing Limited Investors  Fas  Employees 969 Human Resources; Talent  Acquisition; Philanthropy;  Social Impact subject matter  experts  Customers  O ODOC Sales; Customer Support Communication  methods and channels  Interim and Annual Reports;  Annual General Meeting  (AGM) and other General  Meetings; website; webcasts  Internal emails; surveys;  intranet; Employee Resource  Groups; social media  Direct interactions with  customers via meetings or  written responses; customer  focus groups; responses to  customer-requested surveys;  website; social media Communication  topics  Quarterly, interim, and  annual financial results;  climate change; Diversity and  Inclusion (D&I); corporate  governance; ESG initiatives,  goals, and targets  Training and development;  D&l; corporate governance;  climate change; health and  safety; community  engagement  Product energy and carbon  data; corporate climate  change metrics; product  recycled content  information; supplier due  diligence information  Supply chain  ott Suppliers; Global Supply  Chain Surveys and audits;  Responsible Business  Alliance (RBA); Global  Supply Chain; website;  newsletters Environmental performance;  human rights; labor  practices; distribution; health  and safety; D&l; climate  change; supplier training  NGOs;  philanthropic organizations;  civic and community  partnerships;  regulators and legislators Communities  Oo O  + 88 Community service events;  surveys; emails; service  campaigns; website; social  media Access to technology;  STEM education; employee  engagement; natural disasters  Advocacy groups  @ Global, national, and local  oO O O alliances; NGOs Technical working groups;  webinars; newsletters Supply chain due diligence;  climate change; water  management; product end-of-life  management; circular economy;  D&l; philanthropy  Company Secretary;  Directors; Lenovo  Executive Committee; ESG  Executive Oversight  Committee Board of Directors  o2o Pe” Board meetings and  newsletters; emails; AGM Corporate governance; ESG  oversight; climate change  topics; ESG risks and  opportunities; ethics and  compliance  Regulators and  legislators Government agencies;  | patent board; Government ny B Affairs; Legal Compliance assessment  tools; regulatory tracking  services; external legal  resources; newsletters;  webinars Regulatory requirements and  trends; compliance  requirements; data security  and privacy requirements;  labor practice requirements  Industry  associations National or local industry  associations; certification or  conformance groups; industry  councils; standards development  working groups Newsletters; meetings;  webinars; emails Policy recommendations;  regulatory updates and  standards development  activities for energy efficiency;  chemicals restrictions; ecolabels  These lists depict representative examples and are not exhaustive.","{'numbers': ['12', '2023/24'], 'metrics': [], 'dates': ['Annual', 'Quarterly', 'annual']}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  xlpueddy ssaiBoid |qy Wa}-6u07 $ sjebue] pue sanioalqo ‘soueWOLeEd SW SoUJOW pajepljosuoDy uleyo Ajddns jeqojD seduUeWIaAODH |elID0S JeJUeWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy   Development Goals  SUSTAINABLE 4  a ""% DEVELOPMENT : sALS ;  With operations and supply chains that extend around  the world, the Company is uniquely positioned to  support the global collective impact of business by  aligning its practices to a sustainable and inclusive  future.","{'numbers': ['2023/24'], 'metrics': [], 'dates': []}"
"Since 2009, the Company has continued its  role as a signatory supporter to the United Nations  Global Compact (UNGC), a globally recognized  platform that provides a blueprint for businesses that  want to achieve a more sustainable future for all.","{'numbers': [], 'metrics': [], 'dates': ['2009']}"
"As a  business participant in the UNGC, the Company  strives to demonstrate continuous improvement as it  aligns operations and practices with the ten principles  of the UNGC.","{'numbers': ['ten'], 'metrics': [], 'dates': []}"
"Environmental  Climate change  Energy management  Product energy efficiency  Product carbon footprint  Product end-of-life management  Product materials  Product packaging  Product repairability  Supply chain management -  environmental  Transportation and distribution  Waste management  Water management  1 PARTNERSHIPS  FORTHE GOALS i  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   Social  Diversity and inclusion Cyber security and data privacy  Ethical management of Al Ethics and integrity  Health and safety Innovation  Human rights Product quality and safety  Labor practices Regulatory compliance  — Philanthropy and community  —— engagement  GOOD HEALTH DECENT WORK AND  AND WELL-BEING ECONOMIC GROWTH  u/s ii  1 PARTNERSHIPS  FOR THE GOALS 16 PEACE, JUSTICE SE  INSTITUTIONS  xlpueddy ssaiBoid [dy Wa}-6u07 +sjebie] pue Saniqoalqo ‘e.uUeUUOLeEd SWI SsouUjewW pajepllosuoy uUleyod Ajddns jeqojg sd.ueWaAODH |elD0S jeJUsWUOIIAUQ  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   18 Environmental management system (EMS)  19 Climate change  25 Waste  26 Water  27 Environmentally conscious products  3/ Packaging  39 Product end-of-life management (PELM)  4O Circular economy  4] Biodiversity   system (EMS)  The Company manages the environmental elements  af its operations through a global environrnenta!","{'numbers': ['1', '2023/24', '1', '16', '2023/24', '18', '19', '25', '26', '27', '3/', '39', '4O', '4'], 'metrics': [], 'dates': []}"
"Within the framework of the Cornpany’s EMS, it  annually conducts a Significant Environmental Aspect  (SEA) evaluation orocess where It identifies and  evaluates the aspects of its operations that have  actual or ootential significant impacts on the  environment using a methodology that includes input  frorn the Company's Enterprise Risk Management  (ERM) process.","{'numbers': [], 'metrics': [], 'dates': ['annually']}"
"Perforrnance targets are established for  select environmental aspects annually with  considerations including Environmental Affairs Policy,  regulatory requirements, customer requirements,  stakeholder inout, environmental and financial irmpact,  and management directives.","{'numbers': [], 'metrics': [], 'dates': ['annually']}"
"During FY 2023/24, the Company’s significant  environmental aspects included:  ° Product materials - including use of recycled  olastics and environmentally oreferable materials  where possible  ° Product packaging  e Product energy consumption and emissions  * Product end-of-life management  * Site alr ernissions, specifically greenhouse gas  CGHG) emissions  s Site energy consumption  6 Supolier environmental performance  ° Product transportation  ° Waste management  ° Water management  e Impact of Lenovo's net-zero commitment Objective and performance targets were established  for the aspects listed above.","{'numbers': ['6', 'net-zero'], 'metrics': [], 'dates': ['FY 2023/24']}"
"The Company’s  performance against these objectives and targets is  ay  The Company's energy, GHG emissions (Scope Tt and  2), waste, and water data are externally verified to a  reasonable level of assurance.","{'numbers': ['2'], 'metrics': [], 'dates': []}"
"in FY 2023/24, the  Company deployed Lenovo ESG Navigator at two  manufacturing sites in China - the Compary’s Lenovo  South Smart Carnous and Tianjin Smart Carnpus  facilities - where it is being used to collect and  monitor environmental data, including energy,  greenhouse gas emissions, water, and waste data.","{'numbers': ['two'], 'metrics': [], 'dates': ['FY 2023/24']}"
"to have many benefits  inclucing: driving progress toward the Company’s  net-zero emissions target and other environmental  targets, reducing manual workload related to data  collection and reporting, improving data accuracy,  providing near-real-time tracking and analysis of  environmental KPIs, centralizing ESG data and  documents, and facilitating ESG knowledge sharing.","{'numbers': ['zero'], 'metrics': [], 'dates': []}"
"8 Lenovo Group Limited 2023/24 Environmental, Social ancl Governance Report  contributing to climate change and concurs with the  findings of current climate science as described in the  latest assessment report from the Intergovernmental  Panel on Climate Change (IPCC).","{'numbers': ['8', '2023/24'], 'metrics': [], 'dates': []}"
"It is  committed to reducing the global carbon footprint of  its business activities and has demonstrated its  commitment by:  ° Implementing a corporate Climate and Energy  Policy  ° Executing a long-term comprehensive Climate  Change Strategy aligned to validated SBTi  net-zero targets  ° Setting corporate-wide objectives and targets  which support the above Policy and Strategy  N2O  co,  Scope 3 Upstream  e Purchased goods and services  e Capital goods  Fuel and energy related  activities not included in Scope  1and2  Transportation and distribution  Waste generated in operations  Business travel  Employee commuting  ¢ Leased assets Lenovo GHG  Emissions  Scope 1 — direct emissions from  operations that are owned or  controlled by Lenovo  from the generation of  purchased or acquired electricity,  steam, heating or cooling  consumed by Lenovo The Company’s Chief Legal & Corporate Responsibility  Officer provides executive leadership for its ESG  position, including climate change programs.","{'numbers': ['1and2'], 'metrics': [], 'dates': []}"
"At least annually,  the Board is briefed on the Company’s ESG KPIs  including the Company’s climate strategy and  progress towards its climate change mitigation goals.","{'numbers': ['At least annually'], 'metrics': [], 'dates': []}"
Scope 3 Downstream  * Transportation and  distribution  * Processing of sold products  ¢ Use of sold products  Scope 2 — indirect emissions ¢ End-of-life treatment of  sold products  ¢ Leased assets  * Franchises  « |Investments  Notes: Scope 3 categories in bold black are tracked and evaluated and in some cases as described in the following sections actions are being  taken to drive emissions reductions.,"{'numbers': ['3'], 'metrics': [], 'dates': []}"
Scope 3 categories in red are not relevant to the Company.,"{'numbers': ['3'], 'metrics': [], 'dates': []}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 19  xlpueddy sseiBoid |qy Wa}-6u07 + sjebue] pue sanioalqo ‘soueWOpLeEd SW SOUJOW pajepllosuoD uleyo Ajddns jeqojp sedueWIaAODH |elID0S jeJUsWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy  action by committing to align with 1.5°C and net-zero through the Business Ambition for 1.5°C campaign, an  official partner of the United Nations Framework Convention on Climate Change (UNFCCC) Race to Zero  campaign.","{'numbers': ['2023/24', '19', '1.5', 'net-zero', '1.5', 'Zero'], 'metrics': [], 'dates': []}"
"The Company is an early adopter of the science-based emissions reduction approach,  after receiving SBTi approval for near-term 2030 emissions reduction targets in 2020.","{'numbers': [], 'metrics': [], 'dates': ['2030', '2020']}"
"For near-term targets,  the Company’s Scope 1 and 2 emissions reduction targets are consistent with limiting warming to 1.5°C, the  most ambitious goal of the Paris Agreement, and its Scope 3 emissions reduction targets meet ambitious  criteria according to the SBTi’s methodology, which means they are in line with current best practices.","{'numbers': ['2', '1.5'], 'metrics': [], 'dates': []}"
"On January 19, 2023, the Company announced its SBTi validated target to reach net-zero greenhouse gas  (GHG) emissions by 2050.","{'numbers': ['net-zero'], 'metrics': [], 'dates': ['January 19, 2023', '2050']}"
"The Company’s net-zero target is to achieve a 90 percent reduction across Scope 1,  2, and 3 emissions.","{'numbers': ['2', '3'], 'metrics': ['90 percent'], 'dates': []}"
The Company was the first PC and smartphone maker and one of the first 139 companies in  the world to establish a net-zero target validated by SBTi.,"{'numbers': ['first', 'one', 'first', '139'], 'metrics': [], 'dates': []}"
"The Company’s long-term 2050 net-zero target  coincides with its near-term, SBTi-validated 2030 emissions reduction targets.","{'numbers': [], 'metrics': [], 'dates': ['2050', '2030']}"
"In September 2023, Lenovo  joined the UN Global Compact Forward Faster initiative to accelerate private sector action towards the SDGs,  specifically committing to the climate action and water resilience targets within the initiative.","{'numbers': [], 'metrics': [], 'dates': ['September 2023']}"
"By working with SBTi and aligning to their Net-Zero Standard, which is also the world’s first framework for  corporate net-zero target setting, the Company is taking a scientific, collaborative, and accountable approach  to reducing emissions.","{'numbers': ['net-zero'], 'metrics': [], 'dates': []}"
Lenovo’s mature ISO 14001 Environmental Management System (EMS) gives the Company a strong framework  on which to set annual targets to help us drive progress towards its 2030 and 2050 SBTi goals.,"{'numbers': [], 'metrics': [], 'dates': ['annual', '2030', '2050']}"
"SCIENCE  BASED  TARGETS  DRIVING AMBITIOUS CORPORATE CLIMATE ACTION  20 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  achievement, and progress against the targets in FY 2023/24.","{'numbers': ['20', '2023/24'], 'metrics': [], 'dates': ['FY 2023/24']}"
"LENOVO EMISSIONS  REDUCTION NEAR-TERM TARGETS  Reduce absolute Scope 1+ ROAD MAP  Hierarchical combination of energy  efficiency, on-site renewable energy STATUS AS OF FY 2023/24  BASE YEAR: FY 2018/19 FY  2029/30  TARGET  ;~> - Scope 2 GHG emissions °  leaa (related to Lenovo’s generation, and renewable energy On-Track .","{'numbers': ['1', '2023/24', '2018/19'], 'metrics': ['2029/30  TARGET'], 'dates': []}"
"50%  mM operations) by 50% commodities  Reduce Scope 3 GHG  emissions (value chain) from Reduce product emissions through energy  use of sold products ~35% on efficiency improvements, engaging On-Track !","{'numbers': ['3'], 'metrics': ['50%', '50%'], 'dates': []}"
- 35% —T— average for comparable customers to use more renewable energy  products  * Inclusion of climate change requirements  in Supplier Code of Conduct  Reduce Scope 3 GHG * Supplier climate data collected annually  emissions (supply chain) from from subset of suppliers  procured goods and services * Climate change KPIs included in supplier On-Track' - 66.5%  tt 66.5% per million US$ gross ESG scorecards (evaluation process)  profit * Expand supplier program to greater  number of suppliers/ data capabilities  and SBTi level of commitment  * Modal shift to lower carbon modes of  emissions from global logistics transport  operations by 25% per * Optimization of transport planning On-Track !,"{'numbers': ['3'], 'metrics': ['66.5%', '66.5%', '25%'], 'dates': ['annually']}"
"- 25%  tonne-km of transported  product | Reduce Scope 3 GHG  LENOVO EMISSIONS  REDUCTION LONG-TERM TARGETS  Reduce all GHG emissions by  90% - absolute reduction of  Scope 1, 2 and 3 emissions.","{'numbers': ['3', '2', '3'], 'metrics': ['90%'], 'dates': []}"
"Neutralize remaining 10% of  emissions through carbon  capture, reforestation, or other  means * Increase of vehicle utilization  *« Improvement of vehicle fuel efficiency  ROAD MAP  Above concepts continue drive energy  efficiency at Lenovo sites, for products,  expand supplier program in commitment STATUS AS OF FY 2023/24  BASE YEAR: FY 2018/19  On-Track !","{'numbers': ['2023/24', '2018/19'], 'metrics': ['10%'], 'dates': []}"
FY  2049/50  TARGET  - 90%  ' The Company is in the process of improving input data for this Scope 3 category.,"{'numbers': [], 'metrics': ['2049/50  TARGET  -'], 'dates': []}"
"In the FY 2024/25 ESG Report, overall supporting data and target status  will reflect any improved input data.","{'numbers': ['2024/25'], 'metrics': [], 'dates': []}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 2]  xlpueddy sseiBoid |qy Wa}-6u07 + sjebue] pue sanioalqo ‘soueWOpLeEd SW SOUJOW pajepllosuoD uleyo Ajddns jeqojp sedueWIaAODH |elID0S jeJUsWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy  specification prohibits the use of ozone-depleting  substances in its products and manufacturing  processes except in HVAC and fire-suppression  equipment as permitted by law which are managed in  accordance with local regulations, and intentional  releases are prohibited.","{'numbers': ['2023/24'], 'metrics': [], 'dates': []}"
"During FY 2023/24, there were no reported  incidents of refrigerant releases.","{'numbers': [], 'metrics': [], 'dates': ['FY 2023/24']}"
Climate change risks and opportunities and  management  The significant risks and opportunities associated with  climate change are identified and evaluated as part of  two main processes within the Company’s business  management systems.,"{'numbers': ['two'], 'metrics': [], 'dates': []}"
These include its Group Risk  Management and Control (GRMC) process and its  annual significant environmental aspect evaluation.,"{'numbers': [], 'metrics': [], 'dates': ['annual']}"
"These two processes are connected, meaning that if  climate change risks are identified in the global risk  registration, they are considered in the environmental  aspects’ analysis - and vice versa.","{'numbers': ['two'], 'metrics': [], 'dates': []}"
1.,"{'numbers': ['1'], 'metrics': [], 'dates': []}"
2.,"{'numbers': ['2'], 'metrics': [], 'dates': []}"
"Energy consumption, the associated GHG  emissions, and net-zero targets are identified as  significant environmental aspects and impacts  for the Company.","{'numbers': ['net-zero'], 'metrics': [], 'dates': []}"
"As such, associated risks and  opportunities are evaluated and prioritized  annually based on its significant aspect  methodology in accordance with the  requirements of the Company’s EMS.","{'numbers': [], 'metrics': [], 'dates': ['annually']}"
The Company’s climate risk assessment in FY 2023/24  also included climate scenario analysis to explore how  physical and transition risks and opportunities of  climate change can impact its business.,"{'numbers': ['2023/24'], 'metrics': [], 'dates': []}"
"Therefore, the Company has committed  to reduce 90% of full scope emissions to keep global  warming potential within 1.52 C and continues to  broaden its product offerings in sustainability services  and other areas.","{'numbers': ['1.52'], 'metrics': ['90%'], 'dates': []}"
"In  support of UN Sustainable Development Goal (SDG)  13 - Climate Action, one of the Company’s ESG pillars  includes a climate action goal.","{'numbers': ['13', 'one'], 'metrics': [], 'dates': []}"
"13 acnon  G>  For more information about the Company’s  identification and assessment of climate-related risks  and opportunities, metrics, and actions to address  climate change, please read the Company’s responses  to the most recent CDP Climate questionnaire.","{'numbers': ['13'], 'metrics': [], 'dates': []}"
"In 2023, the Company scored an A- “Leadership  Level” on CDP’s Climate Change questionnaire which  reflects its performance toward environmental  stewardship through climate change mitigation  practices in its operations and supply chain.","{'numbers': [], 'metrics': [], 'dates': ['2023']}"
"22 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  annually.","{'numbers': ['22', '2023/24'], 'metrics': [], 'dates': ['annually']}"
"Since decreased energy use or increased  renewable energy use impacts emissions, these  energy-related targets are related to the Company’s  Scope 1 and 2 emissions reduction targets and similar  actions are taken to achieve all three types of targets.","{'numbers': ['2', 'three'], 'metrics': [], 'dates': []}"
"By FY 2025/26, 90%  of our global operations’  electricity will be obtained from  renewable sources.","{'numbers': [], 'metrics': ['90%'], 'dates': ['FY 2025/26']}"
"2  2 May be accomplished through installation of  onsite renewable energy generation, entry into  power purchase agreements (PPA) with power  providers and/or the purchase of renewable  energy credits.","{'numbers': ['2'], 'metrics': [], 'dates': []}"
"In July 2023,  the Company enabled additional 3 MW solar electric  at a factory in Hefei, China, increasing this location’s  total solar generation capacity to 10.1 MW.","{'numbers': ['3', '10.1'], 'metrics': [], 'dates': ['July 2023']}"
"Moreover,  the LSSC site in Shenzhen, China, and TJSC site in  Tianjin, China, added new 2.3 MW and 4.02 MW solar  installations, respectively, in FY2023/24.","{'numbers': ['2.3', '4.02'], 'metrics': [], 'dates': []}"
The  Company’s total solar generation capacity increased  48% compared to last fiscal year.,"{'numbers': [], 'metrics': ['48%'], 'dates': ['last fiscal year']}"
"In addition to the 25.12 MW of solar electric that are  currently operational, the Company continues to  investigate additional opportunities for solar  installations in China and other locations including  Brazil and Mexico.","{'numbers': ['25.12'], 'metrics': [], 'dates': []}"
"The TJSC campus in Tianjin, China, has  signed a purchase agreement with a local utility  supplier to provide 100 percent renewable electricity  for its manufacturing and distribution area starting in  January 2024.","{'numbers': [], 'metrics': ['100 percent'], 'dates': ['January 2024']}"
"In FY 2023/24, the Company  purchased renewable commodities that supported  100 percent renewable energy projects consisting of  wind and/or solar power in various parts of the world  including Brazil, China, India, Japan, Europe, Mexico,  and US.","{'numbers': [], 'metrics': ['100 percent'], 'dates': ['FY 2023/24']}"
"During FY2023/24, the Company expanded  its renewable energy procurement for the first time to  Japan.","{'numbers': ['first'], 'metrics': [], 'dates': []}"
"AFFORDABLE AND  CLEAN ENERGY  vl, » &#  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 23  xlpueddy sseiBoid |qy Wa}-6u07 + sjebue] pue sanioalqo ‘soueWOpLeEd SW SOUJOW pajepllosuoD uleyo Ajddns jeqojp sedueWIaAODH |elID0S jeJUsWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy  environmental aspects is emissions associated with  energy consumption, it has a goal to continually  improve the energy efficiency of its operations.","{'numbers': ['2023/24', '23'], 'metrics': [], 'dates': []}"
