esg_text,labels
"In 2023, Lenovo announced the  new reduced carbon transport service for global  logistics, as well as L.I.S.S.A., an Al-powered consultant  that can help customers optimize their IT solutions in  support of their sustainability goals.",Environment - Waste & Pollutants
Lenovo’s transformation from a device company into a  solution provider is fueling us into a global technology  powerhouse.,Environment - Waste & Pollutants
"Our sustainability solutions and services  offer customers the ability to extend the use of their  devices, manage and measure their IT fleet’s carbon  footprint, contribute to the circular economy, and even  have their equipment shipped more sustainably.",Environment - Waste & Pollutants
"While we enhance our customers’ sustainability  strategies with Lenovo services, we are also proud to  be recognized as a Climate+™ Champion by EPEAT,  the premier global ecolabel for electronics and  technology products.",Environment - Waste & Pollutants
"More than 400 Lenovo products  have been designated with Climate+, which highlights  their thoughtful production with climate in mind.",Environment - Energy
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   on  dake  Ay  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 5  Responsibility Officer  As Senior Vice President and Chief Legal &  Corporate Responsibility Officer, it is a pleasure to  share our 18th annual Environmental, Social, and  Governance (ESG) Report for FY 2023/24.",Environment - Energy
| write  this letter with the knowledge that our world is at  a critical juncture across all elements of ESG.,Environment - Energy
"This  past year was measured as the hottest year on  Earth in recorded history, economic uncertainty  and division remains for many around the world,  and artificial intelligence has proven itself as a  powerful tool that must be used thoughtfully.",Environment - Waste & Pollutants
"It’s  more important than ever to take action credibly,  collaboratively, and with full accountability.",Environment - Energy
"With these values in mind, Lenovo was proud to  fortify our participation as a member of the United  Nations Global Compact by joining the Forward  Faster initiative in 2023.",Environment - Waste & Pollutants
"Through this initiative,  Ve Lenovo has committed to accelerating impact for  .",Environment - Energy
the UN Sustainable Development Goals as they  relate to climate action and water resilience.,Environment - Energy
"After  announcing the validation of our net-zero targets  by the Science Based Targets initiative in January  2023, joining the Forward Faster initiative further  demonstrates our commitment to credible action  through collaboration with others who are serious  about mitigating climate change and conserving  our planet’s resources.",Environment - Waste & Pollutants
While we are on track to meet our near-term 2030  emissions reduction goals - the first milestone in  our journey to net-zero by 2050 - we know that  innovation is perhaps the most critical strength for  our journey.,Environment - Waste & Pollutants
Our people are core to our ability to  innovate and it’s important that our teams are  composed of diverse perspectives to ensure we’re  getting the best ideas from a wide range of  viewpoints.,Environment - Waste & Pollutants
"Workforce diversity not only supports  stronger solutions to problems, but it helps us  better meet the needs of our diverse, global  customer base.",Environment - Waste & Pollutants
"To better understand the diversity of our employee  base, we launched a Self-ID Campaign in 2023.",Environment - Energy
"The  Self-ID Campaign gives employees the opportunity  to voluntarily provide information on their gender  identity, disability status, and racial or ethnic  background.",Environment - Energy
"With alignment from local leadership,  it has rolled out in the US, the European Union, and  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   months to come.",Environment - Energy
This campaign and the aggregate  workforce data it provides is critical to ensuring  the safety and well-being of employees by  increasing awareness of external dynamics and  helping to support the development of stronger  internal policies.,Environment - Waste & Pollutants
"It also provides insights for our  employee resource groups, as they work to foster  a sense of belonging in our workforce across seven  diversity segments, many intersections, and many  interest groups.",Environment - Energy
Our Product Diversity Office can  also leverage this data for awareness of internal  stakeholders as they review new products and  solutions and ensure our smarter technology is  truly for all.,Environment - Waste & Pollutants
Lenovo is an industry leader in the inclusion of  women in the workforce and representation of  women in our technical teams.,Environment - Waste & Pollutants
"We remain focused  on our executive representation goals for FY  2025/26, working to reach 27% female executive  representation around the world and 35%  representation of executives from historically  excluded backgrounds in the US.",Environment - Energy
"To bolster this  work, we’ve focused on our diverse talent pipeline.",Environment - Energy
We continue to see success from our Women’s  Leadership Development Program (for  Director-level women around the world) and  Mosaic Leadership Development Program (for  Directors from historically excluded backgrounds  in the US).,Environment - Waste & Pollutants
Recently Lenovo has added the  Courageous Leadership Development Program to  better retain and grow managers who are from  historically excluded backgrounds in the US and  not yet at the Director level.,Environment - Waste & Pollutants
"In FY 2023/24, we were proud to receive the  highest-ever engagement score on our Annual  Lenovo Listens employee survey.",Environment - Waste & Pollutants
We see this  reflected in our employees’ energy for our global  philanthropy efforts.,Environment - Waste & Pollutants
"In 2023, employees grew our  grassroots-driven Love on Month of Service for the  seventh consecutive year, tracking more hours  volunteered than ever before.",Environment - Waste & Pollutants
"Employees in  Colombia, Brazil, the US and India gave back with  our charitable partner Wine To Water to help  provide access to clean water for local  communities.",Environment - Energy
"Additionally, employees engaged  with our Work for Humankind initiative in India,  helping rural farmers in the Kanthaloor state  revitalize cultivation of the ancient millet grain.",Environment - Waste & Pollutants
"As we continue our sustainability journey, we are  proud of recognitions that signal progress.",Environment - Waste & Pollutants
In the  past year we were proud to be recognized as one  of Fortune Magazine’s Most Admired Companies.,Environment - Waste & Pollutants
"We were also named a Best Place to Work for Disability Inclusion by the Disability:IN, maintained  our placement on the Human Rights Campaign’s  Corporate Equality Index for LGBTQ+ inclusion,  and received our highest score to date on  Workplace Pride’s Global Benchmark Score.",Environment - Waste & Pollutants
"Our  customers and partners are recognizing our efforts,  as Lenovo was honored with the Canalys  Sustainability Champion Award in 2023.",Environment - Waste & Pollutants
"We know  that these accolades are the result of strong  governance that we will persistently reinforce  through our policies, decisions, behaviors, and the  workplace culture they create.",Environment - Waste & Pollutants
"As a global technology company, we continue to  navigate new challenges.",Environment - Water
"However, we know that  our persistent commitments to collaboration,  credibility, and accountability will continue to  power us forward on our sustainability journey.",Environment - Waste & Pollutants
"Ona hate  Laura Quatela  Senior Vice President, Chief Legal & Corporate  Responsibility Officer  Lenovo Group Limited  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  S49]19| BAIINDEXA   Material topics  Aligning with the United Nations  Sustainable Develooment Goals  This is the 18° annual Environmental, Social, and  Governance (ESG3 Repert of Lenovo Group Limited!",Environment - Energy
"CHED counter stock cade: 992 / RMB counter stock  code: 80992) Cthe Company’), which covers the  Fiscal Year (FY) 2023/24 (April 1, 2023 - March 31  2024), This report is consicered ; a s cornpanion  Gocurment ta the Carmparry’s $ O23 :  = t, The annual ESG gate o car be fou nd i in n the  Management’ S discussion & analysis of the Annual  Report.",Environment - Energy
"The content of this report is guided by the ESG  Reporting Guide as set out in Appendix C2 to the  Rides Governing the Listing Rules of Securities (Listing  Rules} on The Stock Exchange of Hong Kong Limited  (the Hong Kong Stock Exchange), the Global  Reporting Initiative CGR} Standards, and the needs of  Lenave’s stakeholders.",Environment - Energy
This report has been prepared  with reference to the GRI 2021 Standards and in  accordance with the ESG Reporting Guide of the  Honda Kong Steck Exchange.,Environment - Energy
The GRE content index  and the Hong Kong Stock Exchange’s ESG Reporting  Guide content index are included in the Appendix of  this report.,Environment - Energy
"The Company has compliect with all  mandatory disclosure requirements and “camply or  explain’ provisions, including following the reporting  principles, as set out in the ESG Reporting Guide of  the Hong Kong Stock Exchange.",Environment - Energy
The Company adheres to the following recorting  orinciptes in preparing the report:  Materiality - The Company conducts regular  materiality assessments and stakeholder engagernent  to identify and report on material ESG issues to  investors and other stakeholders.,Environment - Energy
"Quantitative - The Company, where aooropriate, sets  targets with the aim to reduce its impacts and to  evaluate and validate its efforts in a measurable  manner.",Environment - Energy
Balance - The Company aims to present information  ina transparent and unbiased manner to provide a  halistic view of its overall ESG performance.,Environment - Energy
Consistency ~ The Cornpany aims to use consistent  methodologies to allow for meaningful comparisons  of ESG data over time and provide inforrnation where  there are significant changes.,Environment - Energy
"; Lenovo Group Limited is the ultimate  develop, manufacture, or distribute produc Accracdited third parties have provided verification  services for certain energy, greenhouse gas (GHG)  emussions, waste, ang water data in this report.",Environment - Energy
Please  see the Environmental s ar of this report for more  details.,Environment - Energy
For purposes of this report.,Environment - Energy
"unless the context  otherwise requires, the terms “Lenovo” or “Lenove  Group” or the “Group” refers to Lenovo Group Limited  together with its subsidiaries.",Environment - Energy
"The contents of this  report apply to the Company, together with tts  principal Lenove-branded and Motorola-brandec  subsidiaries (the Covered Entities), except where  noted.",Environment - Energy
"Where certain topics also include other  principal subsidiaries, if is noted.",Environment - Energy
The scome of the  Covered Entities’ material topics and the boundaries  within their value chain are detailed in the table  included in the Appendix of this report.,Environment - Energy
The table also  includes the scope of coverage for the information  that extends to subsidiaries directly or indirectly: held  by the Company and that are identified in the -  4& Annual Report.,Environment - Energy
All disclosures and results are  for the Company's 5 progress in PY 2022/24 unless  otherwise noted.,Environment - Energy
The scooe of this report was  determined using a financial threshold with reference  to the contributions of the subsidiaries or operations  to the total revenue of the Group.,Environment - Energy
y oe aeie ot SaSis QY Ce rg  All financial data is denoted in US Dollars.,Environment - Energy
The  Company ray in some instances face various  challenges when rneasuring its performance.,Environment - Water
"If there  are contingencies associated with the data proviced,  those contingencies will be nated in the  documentation.",Environment - Energy
"For questions or other information about this report,  please comtact:  Ms.",Environment - Energy
"Jeannie Kwong, ESG Reporting Manager  BOOT Davelooment Drive, Morrisville, NC 27560  Email environmentailenove  e holding compary of Lenovo Group.",Environment - Energy
"4s 4 holding cornpany, it does not design,  ts or services, or control any activities of the Company's subsictaries in the  design, develooment, rnanufacture, or distribution of products or services,  10 Lenovo Group Limited 2023/24 Environmental, Social ancl Governance Report  approximately 69,500 people around the world and  serving millions of customers every day in 180  markets.",Environment - Energy
"The Company is incorporated and listed in  Hong Kong SAR, China, with headquarters in Beijing,  China, and North Carolina, USA.",Environment - Energy
"Focused on a bold  vision to deliver smarter technology for all, Lenovo  has built on its success as the world’s largest PC  company by further expanding into key growth areas  that fuel the advancement of ‘New IT’ technologies  (client, edge, cloud, network, and intelligence)  including server, storage, mobile, software, solutions,  and services.",Environment - Waste & Pollutants
Lenovo acquired IBM’s PC Division in May 2005.,Environment - Energy
"In with NEC Corporation, which resulted in the creation  of the largest PC group in Japan.",Environment - Energy
"Lenovo has held a  majority stake in Medion AG since July 2011, and in  October 2014, Lenovo acquired both Motorola  Mobility and IBM’s X86 servers.",Environment - Energy
"In November 2017,  Lenovo launched a joint venture with Fujitsu Limited.",Environment - Energy
"In 2022, the Company announced a strategic  solutions powerhouse, leveraging the combined  strengths of both companies.",Environment - Waste & Pollutants
was ranked #8 in Gartner’s Top 25 Global Supply  Chains in 2023.,Environment - Energy
"To meet the demands of its diverse,  global customer base, Lenovo has established  company locations, research centers, and  manufacturing sites around the world.",Environment - Energy
"January 2011, the Company announced a joint venture  Global supply chain profile  Markets  1OM+  Order lines  per year 1Bt 30+ #8  Global Global Gartner 2023  F Global Supply Chain manufacturin customers Sak g Top 25 (up 1 place)  120M+ , >$150M  Shipments Digital  transformation  oO |= | pi investment  wi Ce  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report partnership with PCCW Limited to form a technology  Lenovo has a flexible, resilient global supply chain that  S197]9| SAIINDEXA xlpueddy ssaiBoid [dy Wa}-6u07 +sjebie] pue Saniqoalqo ‘e.uUeUUOLeEd SWI SsouUjewW pajepllosuoy uUleyod Ajddns jeqojg sd.ueWaAODH |elD0S jeJUsWUOIIAUQ  variety of informed perspectives as it develops and  drives its ESG programs.",Environment - Energy
"Through ongoing  engagement with stakeholders, the Company  identifies ESG-related material topics through a  process that includes a range of inputs which align  with its significant environmental, social, and  governance impacts; or that substantively influence  the decisions of stakeholders.",Environment - Energy
"The sources of input  include but are not limited to customer surveys,  benchmarking of industry trends, ESG reporting  frameworks, investor outreach, requirements under  the Listing Rules, regulatory agencies,  non-governmental organizations (NGOs), and various  internal and external stakeholders.",Environment - Energy
The ESG-related material topics are identified and  prioritized by considering the degree of importance of  each topic related to: ° Lenovo’s business continuity  .,Environment - Energy
"Lenovo’s stakeholders  e Lenovo’s impact on the economy, environment,  and people, including human rights  This prioritization exercise is carried out using  stakeholder inclusiveness and materiality principles.",Environment - Energy
"The information derived from this process helps set  the Group’s ESG goals, targets, disclosure practices,  and ongoing engagement with its stakeholders.",Environment - Waste & Pollutants
The  material topics identified for the FY 2023/24  reporting year are detailed in the chart below.,Environment - Energy
"The Board of Directors and the ESG Executive  Oversight Committee (ESG EOC) of the Company have  reviewed and approved the materiality assessment  process and results, ensuring that there is alignment  with the Group’s policies, business strategies, and risk  priorities.",Environment - Energy
Details regarding the Company’s ESG  Governance and the role of the ESG EOC are included  in the Governance section of this report.,Environment - Energy
Environmental  Climate change  Energy management  Product end-of-life management  Product energy efficiency and  carbon footprint  Product materials  Product packaging  Product repairability  Supply chain management -  environmental  Transportation and distribution  Waste management  Water management Social  Community engagement  Ethical Artificial Intelligence (Al)?,Environment - Energy
"Human rights  Health and safety  Diversity and inclusion  Labor practices  Philanthropy Governance  Cyber security and data privacy  Ethics and integrity  Innovation  Product quality and safety  Regulatory compliance  Reporting and disclosures  Stakeholder engagement  This topic was initially identified as a social matter during the Company’s materiality assessment but as the  importance of Al has grown, the impacts are being managed through the Company's governance  practices.",Environment - Energy
"As a result, this topic is discussed in the Governance section.",Environment - Energy
"The Group actively manages its relationships with  customers, employees, suppliers, investors, regulators,  members of the communities in which it operates, and  other stakeholders who may be impacted by the  organization’s ESG performance and whose actions can affect the organization’s value.",Environment - Energy
Direct and indirect  stakeholder engagement is conducted through regular  business practices or through interactions with  relevant stakeholders.,Environment - Energy
"12 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  Investor Relations;  Analysts;  shareholders;  financial institutions;  Hong Kong Exchanges and  Clearing Limited Investors  Fas  Employees 969 Human Resources; Talent  Acquisition; Philanthropy;  Social Impact subject matter  experts  Customers  O ODOC Sales; Customer Support Communication  methods and channels  Interim and Annual Reports;  Annual General Meeting  (AGM) and other General  Meetings; website; webcasts  Internal emails; surveys;  intranet; Employee Resource  Groups; social media  Direct interactions with  customers via meetings or  written responses; customer  focus groups; responses to  customer-requested surveys;  website; social media Communication  topics  Quarterly, interim, and  annual financial results;  climate change; Diversity and  Inclusion (D&I); corporate  governance; ESG initiatives,  goals, and targets  Training and development;  D&l; corporate governance;  climate change; health and  safety; community  engagement  Product energy and carbon  data; corporate climate  change metrics; product  recycled content  information; supplier due  diligence information  Supply chain  ott Suppliers; Global Supply  Chain Surveys and audits;  Responsible Business  Alliance (RBA); Global  Supply Chain; website;  newsletters Environmental performance;  human rights; labor  practices; distribution; health  and safety; D&l; climate  change; supplier training  NGOs;  philanthropic organizations;  civic and community  partnerships;  regulators and legislators Communities  Oo O  + 88 Community service events;  surveys; emails; service  campaigns; website; social  media Access to technology;  STEM education; employee  engagement; natural disasters  Advocacy groups  @ Global, national, and local  oO O O alliances; NGOs Technical working groups;  webinars; newsletters Supply chain due diligence;  climate change; water  management; product end-of-life  management; circular economy;  D&l; philanthropy  Company Secretary;  Directors; Lenovo  Executive Committee; ESG  Executive Oversight  Committee Board of Directors  o2o Pe” Board meetings and  newsletters; emails; AGM Corporate governance; ESG  oversight; climate change  topics; ESG risks and  opportunities; ethics and  compliance  Regulators and  legislators Government agencies;  | patent board; Government ny B Affairs; Legal Compliance assessment  tools; regulatory tracking  services; external legal  resources; newsletters;  webinars Regulatory requirements and  trends; compliance  requirements; data security  and privacy requirements;  labor practice requirements  Industry  associations National or local industry  associations; certification or  conformance groups; industry  councils; standards development  working groups Newsletters; meetings;  webinars; emails Policy recommendations;  regulatory updates and  standards development  activities for energy efficiency;  chemicals restrictions; ecolabels  These lists depict representative examples and are not exhaustive.",Environment - Energy
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  xlpueddy ssaiBoid |qy Wa}-6u07 $ sjebue] pue sanioalqo ‘soueWOLeEd SW SoUJOW pajepljosuoDy uleyo Ajddns jeqojD seduUeWIaAODH |elID0S JeJUeWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy   Development Goals  SUSTAINABLE 4  a ""% DEVELOPMENT : sALS ;  With operations and supply chains that extend around  the world, the Company is uniquely positioned to  support the global collective impact of business by  aligning its practices to a sustainable and inclusive  future.",Environment - Waste & Pollutants
"Since 2009, the Company has continued its  role as a signatory supporter to the United Nations  Global Compact (UNGC), a globally recognized  platform that provides a blueprint for businesses that  want to achieve a more sustainable future for all.",Environment - Waste & Pollutants
"As a  business participant in the UNGC, the Company  strives to demonstrate continuous improvement as it  aligns operations and practices with the ten principles  of the UNGC.",Environment - Waste & Pollutants
"The principles promote a value system  that supports the fundamental responsibilities in the  areas of governance, human rights, labor,  environment, and anti-corruption in the markets  where the Company operates.",Environment - Waste & Pollutants
See for  information on the Company’s UNGC Communication  on Progress (CoP).,Environment - Energy
WE SUPPORT  The Company’s ESG initiatives include activities that  directly and indirectly support the United Nations  Sustainable Development Goals (SDGs).,Environment - Energy
"This  information can be found throughout the  , and sections of this  report.",Environment - Energy
"Environmental  Climate change  Energy management  Product energy efficiency  Product carbon footprint  Product end-of-life management  Product materials  Product packaging  Product repairability  Supply chain management -  environmental  Transportation and distribution  Waste management  Water management  1 PARTNERSHIPS  FORTHE GOALS i  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   Social  Diversity and inclusion Cyber security and data privacy  Ethical management of Al Ethics and integrity  Health and safety Innovation  Human rights Product quality and safety  Labor practices Regulatory compliance  — Philanthropy and community  —— engagement  GOOD HEALTH DECENT WORK AND  AND WELL-BEING ECONOMIC GROWTH  u/s ii  1 PARTNERSHIPS  FOR THE GOALS 16 PEACE, JUSTICE SE  INSTITUTIONS  xlpueddy ssaiBoid [dy Wa}-6u07 +sjebie] pue Saniqoalqo ‘e.uUeUUOLeEd SWI SsouUjewW pajepllosuoy uUleyod Ajddns jeqojg sd.ueWaAODH |elD0S jeJUsWUOIIAUQ  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   18 Environmental management system (EMS)  19 Climate change  25 Waste  26 Water  27 Environmentally conscious products  3/ Packaging  39 Product end-of-life management (PELM)  4O Circular economy  4] Biodiversity   system (EMS)  The Company manages the environmental elements  af its operations through a global environrnenta!",Environment - Energy
"management system CEMS) that covers the  Campany's worldwide oroduct desian, develoomert,  and manufacturing operations Cincluding distribution,  fulfilment, and internal repair operations) for  computer products and devices, data center products,  mobile devices, smart devices, accessories, and  converged network equipment.",Environment - Energy
The scope  encompasses these same activities when performed  sy its subsidiary and/or affillate companies.,Environment - Energy
All of the Company's sites in the EMS scope are ISO  TOOL2015 certified.,Environment - Energy
See hare to view the Company's  Global ISO 14001:2015 certificates.,Environment - Energy
"The Company has established, implemented, and  maintained an Environrnental Affairs Policy which can  be viewed here.",Environment - Energy
"Within the framework of the Cornpany’s EMS, it  annually conducts a Significant Environmental Aspect  (SEA) evaluation orocess where It identifies and  evaluates the aspects of its operations that have  actual or ootential significant impacts on the  environment using a methodology that includes input  frorn the Company's Enterprise Risk Management  (ERM) process.",Environment - Energy
Metrics and controls are established  for these significant environmental aspects.,Environment - Energy
Performance relative to these metrics is tracked and  reported.,Environment - Energy
"Perforrnance targets are established for  select environmental aspects annually with  considerations including Environmental Affairs Policy,  regulatory requirements, customer requirements,  stakeholder inout, environmental and financial irmpact,  and management directives.",Environment - Energy
"During FY 2023/24, the Company’s significant  environmental aspects included:  ° Product materials - including use of recycled  olastics and environmentally oreferable materials  where possible  ° Product packaging  e Product energy consumption and emissions  * Product end-of-life management  * Site alr ernissions, specifically greenhouse gas  CGHG) emissions  s Site energy consumption  6 Supolier environmental performance  ° Product transportation  ° Waste management  ° Water management  e Impact of Lenovo's net-zero commitment Objective and performance targets were established  for the aspects listed above.",Environment - Energy
"The Company’s  performance against these objectives and targets is  ay  The Company's energy, GHG emissions (Scope Tt and  2), waste, and water data are externally verified to a  reasonable level of assurance.",Environment - Waste & Pollutants
The Carnpany’s GHGS  emissions (Scape 3) data is externally verified to a  lirnited level of assurance.,Environment - Energy
"The FY 2023/24  Verification Statements for GHG, Energy, Waste and  The Company has developed and tested an innovative  ESG data managernent system called Lenove ESG  Navigator that helos monitor key ESG metrics and  deliver near-real-time insights.",Environment - Energy
"in FY 2023/24, the  Company deployed Lenovo ESG Navigator at two  manufacturing sites in China - the Compary’s Lenovo  South Smart Carnous and Tianjin Smart Carnpus  facilities - where it is being used to collect and  monitor environmental data, including energy,  greenhouse gas emissions, water, and waste data.",Environment - Energy
"In  addition, Lenove ESG Navigator is in use at the  Company's Beling Headquarters where it is deployed  as a smart building solution and within the Company's  Global Supply Chain where it collects and monitors  select ESG data related to suppliers and products.",Environment - Energy
"As next steps, it plans to continue te coach users at  the facilities where tt has been deployed on Lenovo  ESG Navigator's effective use and will continue to  rollout the platform to additional manufacturing sites  beginning with tts facility in Monterrey, Mexico.",Environment - Energy
The  Company anticipates the too!,Environment - Energy
"to have many benefits  inclucing: driving progress toward the Company’s  net-zero emissions target and other environmental  targets, reducing manual workload related to data  collection and reporting, improving data accuracy,  providing near-real-time tracking and analysis of  environmental KPIs, centralizing ESG data and  documents, and facilitating ESG knowledge sharing.",Environment - Waste & Pollutants
"At the sites where Lenove ESG Navigator has been  deployed, the environmental focal points are using the  system to orovicte the data input into the Company's  internal environmental database.",Environment - Energy
"8 Lenovo Group Limited 2023/24 Environmental, Social ancl Governance Report  contributing to climate change and concurs with the  findings of current climate science as described in the  latest assessment report from the Intergovernmental  Panel on Climate Change (IPCC).",Environment - Energy
"The Company also  recognizes that if left unchecked, current trends in  climate change present serious economic and societal  risks and agrees that specific actions are needed to  stabilize atmospheric GHG levels and hold global  average temperatures to acceptable increases.",Environment - Water
The Company is working both internally and externally  to help minimize and mitigate climate risks.,Environment - Energy
"It is  committed to reducing the global carbon footprint of  its business activities and has demonstrated its  commitment by:  ° Implementing a corporate Climate and Energy  Policy  ° Executing a long-term comprehensive Climate  Change Strategy aligned to validated SBTi  net-zero targets  ° Setting corporate-wide objectives and targets  which support the above Policy and Strategy  N2O  co,  Scope 3 Upstream  e Purchased goods and services  e Capital goods  Fuel and energy related  activities not included in Scope  1and2  Transportation and distribution  Waste generated in operations  Business travel  Employee commuting  ¢ Leased assets Lenovo GHG  Emissions  Scope 1 — direct emissions from  operations that are owned or  controlled by Lenovo  from the generation of  purchased or acquired electricity,  steam, heating or cooling  consumed by Lenovo The Company’s Chief Legal & Corporate Responsibility  Officer provides executive leadership for its ESG  position, including climate change programs.",Environment - Energy
"In  addition, the ESG Executive Oversight Committee  (EOC), chaired by the Chief Legal & Corporate  Responsibility Officer, provides strategic direction and  facilitates the coordination of ESG efforts across the  Company, including proposing recommendations for  the effective management of ESG programs.",Environment - Energy
"The ESG  EOC is comprised of senior management from across  the business and functional areas and is chartered to  promote a culture that encourages strong ESG  performance, including compliance and leadership  activities.",Environment - Waste & Pollutants
"Regular updates on ESG issues, including  updates on topics discussed by the ESG EOC, are also  provided to the Board and its Committees from the  Chief Legal & Corporate Responsibility Officer.",Environment - Energy
"Concentrated discussion on ESG issues, including  climate change, assists the Board in making the most  appropriate decisions and providing oversight based  on the long-term risks and opportunities that impact  its stakeholders and the business.",Environment - Energy
"At least annually,  the Board is briefed on the Company’s ESG KPIs  including the Company’s climate strategy and  progress towards its climate change mitigation goals.",Environment - Energy
Scope 3 Downstream  * Transportation and  distribution  * Processing of sold products  ¢ Use of sold products  Scope 2 — indirect emissions ¢ End-of-life treatment of  sold products  ¢ Leased assets  * Franchises  « |Investments  Notes: Scope 3 categories in bold black are tracked and evaluated and in some cases as described in the following sections actions are being  taken to drive emissions reductions.,Environment - Energy
Scope 3 categories in red are not relevant to the Company.,Environment - Energy
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 19  xlpueddy sseiBoid |qy Wa}-6u07 + sjebue] pue sanioalqo ‘soueWOpLeEd SW SOUJOW pajepllosuoD uleyo Ajddns jeqojp sedueWIaAODH |elID0S jeJUsWUOIIAUQ Yoda siyjjnogy siaye] sAWNDeXy  action by committing to align with 1.5°C and net-zero through the Business Ambition for 1.5°C campaign, an  official partner of the United Nations Framework Convention on Climate Change (UNFCCC) Race to Zero  campaign.",Environment - Energy
"SBTi is a partnership between the UN Global Compact, CDP, World Resources Institute and World  Wide Fund for Nature.",Environment - Energy
"The Company is an early adopter of the science-based emissions reduction approach,  after receiving SBTi approval for near-term 2030 emissions reduction targets in 2020.",Environment - Energy
"For near-term targets,  the Company’s Scope 1 and 2 emissions reduction targets are consistent with limiting warming to 1.5°C, the  most ambitious goal of the Paris Agreement, and its Scope 3 emissions reduction targets meet ambitious  criteria according to the SBTi’s methodology, which means they are in line with current best practices.",Environment - Energy
"On January 19, 2023, the Company announced its SBTi validated target to reach net-zero greenhouse gas  (GHG) emissions by 2050.",Environment - Energy
"The Company’s net-zero target is to achieve a 90 percent reduction across Scope 1,  2, and 3 emissions.",Environment - Energy
The Company was the first PC and smartphone maker and one of the first 139 companies in  the world to establish a net-zero target validated by SBTi.,Environment - Energy
"The Company’s long-term 2050 net-zero target  coincides with its near-term, SBTi-validated 2030 emissions reduction targets.",Environment - Energy
"In September 2023, Lenovo  joined the UN Global Compact Forward Faster initiative to accelerate private sector action towards the SDGs,  specifically committing to the climate action and water resilience targets within the initiative.",Environment - Energy
"By working with SBTi and aligning to their Net-Zero Standard, which is also the world’s first framework for  corporate net-zero target setting, the Company is taking a scientific, collaborative, and accountable approach  to reducing emissions.",Environment - Waste & Pollutants
Aligning goals to the SBTi helps hold companies accountable for their emissions  reduction.,Environment - Waste & Pollutants
"Without aligning to SBTi, it is difficult to validate or know when a net-zero target is reached.",Environment - Energy
Lenovo’s mature ISO 14001 Environmental Management System (EMS) gives the Company a strong framework  on which to set annual targets to help us drive progress towards its 2030 and 2050 SBTi goals.,Environment - Waste & Pollutants
